variant_name,days,active_days,days_with_candidates,total_trades,total_net_pnl,average_day_pnl,worst_day_pnl,best_day_pnl,average_profit_factor,average_trade_count,max_drawdown_sum,trade_level_profit_factor,trade_level_win_rate,trade_level_avg_pnl,ablation_name
TES_ATM100_SCORE5_TES8_TARGET7__baseline,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,baseline
TES_ATM100_SCORE5_TES8_TARGET7__remove_tes,4,2,2,76,16975.000000000007,4243.750000000002,0.0,8700.000000000018,6.513408472600034,19.0,-13974.999999999993,1.6611489776046744,0.34210526315789475,223.35526315789488,remove_tes
TES_ATM100_SCORE5_TES8_TARGET7__remove_spread_compression,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_spread_compression
TES_ATM100_SCORE5_TES8_TARGET7__remove_adjacent_confirmation,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_adjacent_confirmation
TES_ATM100_SCORE5_TES8_TARGET7__remove_opposite_suppression,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_opposite_suppression
TES_ATM100_SCORE5_TES8_TARGET7__remove_quote_freshness,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_quote_freshness
TES_ATM100_SCORE5_TES8_TARGET7__remove_exhaustion_penalty,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_exhaustion_penalty
TES_ATM100_SCORE5_TES8_TARGET7__remove_ultra_tight_spread,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_ultra_tight_spread
TES_ATM100_SCORE5_TES8_TARGET7__remove_atm_filter,4,2,2,90,7624.999999999973,1906.2499999999932,0.0,7499.999999999985,1.9453914379075086,22.5,-13925.000000000018,1.2160056657223788,0.3333333333333333,84.72222222222193,remove_atm_filter
TES_ATM100_SCORE5_TES8_TARGET7__remove_depth_filter,4,2,2,465,-15124.999999999996,-3781.249999999999,-12000.000000000011,0.0,0.8971721345759678,116.25,-36974.999999999985,0.9312656214496704,0.3096774193548387,-32.52688172043007,remove_depth_filter
TES_ATM100_SCORE5_TES8_TARGET7__remove_confirmation,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752,remove_confirmation
TES_ATM100_SCORE5_TES8_TARGET7__cooldown_15,4,2,2,72,20125.000000000007,5031.250000000002,0.0,11850.000000000016,6.5837975781432,18.0,-9849.999999999989,1.8066132264529067,0.3333333333333333,279.51388888888897,cooldown_15
TES_ATM100_SCORE5_TES8_TARGET7__cooldown_90,4,2,2,60,12000.00000000003,3000.0000000000073,0.0,8274.99999999999,6.4235616136379905,15.0,-14349.999999999975,1.5280528052805298,0.3333333333333333,200.0000000000005,cooldown_90
