label,precision,recall,f1_score,support,score
keep_3,0.2413793103448276,0.3888888888888889,0.2978723404255319,36.0,
extend_to_5,0.0,0.0,0.0,35.0,
extend_to_7,0.5862068965517241,0.6601941747572816,0.6210045662100456,103.0,
accuracy,,,,,0.47126436781609193
macro avg,0.27586206896551724,0.3496943545487235,0.30629230221185916,174.0,
weighted avg,0.3969480776852952,0.47126436781609193,0.42923491135030944,174.0,
