label,precision,recall,f1_score,support,score
keep_3,0.25,0.4166666666666667,0.3125,36.0,
extend_to_5,0.18181818181818182,0.05714285714285714,0.08695652173913043,35.0,
extend_to_7,0.5825242718446602,0.5825242718446602,0.5825242718446602,103.0,
accuracy,,,,,0.4425287356321839
macro avg,0.33811415122094735,0.35211126521806135,0.3273269311945968,174.0,
weighted avg,0.43312434691745033,0.4425287356321839,0.42697401299350324,174.0,
