model,eval_rows,eval_days,accuracy,macro_f1,weighted_f1,fallback_rate,baseline_total_pnl,policy_total_pnl,delta_vs_baseline_pnl,positive_day_ratio,over_promotion_losses,runner_capture_gains,worst_day_delta_pnl
hgb,174,9,0.4425287356321839,0.3273269311945968,0.42697401299350324,0.26436781609195403,237850.00000000003,296900.0000000001,59050.0000000001,0.7777777777777778,67024.9999999999,119649.99999999999,-7874.999999999945
logistic,174,9,0.47126436781609193,0.30629230221185916,0.42923491135030944,0.3850574712643678,237850.00000000003,287075.00000000023,49225.00000000014,0.6666666666666666,71724.99999999985,120950.0,-5749.999999999945
