trade_id,source_file,entry_time,symbol,side,product,entry_price,target_price,quantity,strike,expiry,underlying_spot,source_candle_start,trigger_price,signal_kind,exit_time,exit_reason,exit_price,gross_pnl,net_pnl,charges,realized_pnl_after_trade,target_order_id,early_failure_mark_time,early_failure_duration_seconds,early_failure_price,early_failure_mfe,early_failure_mae,early_failure_signal_kind,mark_count,first_mark_time,last_mark_time,first_mark_delay_seconds,first_ltp,last_ltp,min_ltp,max_ltp,max_mfe_from_marks,max_mae_from_marks,first_move_points,first_move_direction,runup_5s,drawdown_5s,last_pnl_5s,price_range_5s,runup_10s,drawdown_10s,last_pnl_10s,price_range_10s,runup_15s,drawdown_15s,last_pnl_15s,price_range_15s,runup_20s,drawdown_20s,last_pnl_20s,price_range_20s,runup_30s,drawdown_30s,last_pnl_30s,price_range_30s,runup_60s,drawdown_60s,last_pnl_60s,price_range_60s,time_to_plus_0_5s,time_to_plus_1_0s,time_to_plus_1_5s,time_to_plus_2_0s,time_to_plus_3_0s,time_to_minus_1_0s,time_to_minus_2_0s,time_to_minus_3_0s,time_to_minus_5_0s,max_dd,max_runup,effective_exit_time,effective_exit_price,holding_seconds,realized_points,computed_gross_pnl,net_pnl_effective,status,target_hit,early_failure_logged,signal_family,entry_date,entry_hour,entry_minute,entry_delay_seconds,trigger_gap_directional,atm_strike,strike_minus_spot,atm_distance_points,moneyness_class,atm_distance_bucket,premium_confirm_5s,premium_confirm_10s,premium_stall_10s,adverse_5s_ge_2,adverse_10s_ge_3,large_loss
BFO:SENSEX2631278100CE|2026-03-11T09:20:53.143312,11Mar_trades.jsonl,2026-03-11 09:20:53.143312,BFO:SENSEX2631278100CE,CALL,,540.85,543.85,500,78100.0,2026-03-12,78317.4,2026-03-11 09:20:00,78314.62,,2026-03-11 09:21:44.502620,TARGET_HIT,543.85,1500.0,1500.0,0.0,1500.0,,,,,,,,24,2026-03-11 09:20:55.256324,2026-03-11 09:21:44.502620,2.113012,536.45,545.3,526.6,545.3,4.449999999999932,-14.25,-4.399999999999977,AGAINST,-1.3999999999999773,-4.399999999999977,-1.3999999999999773,3.0,-1.3999999999999773,-4.600000000000023,-4.600000000000023,3.2000000000000455,-1.3999999999999773,-13.600000000000023,-13.600000000000023,12.200000000000045,-1.3999999999999773,-13.600000000000023,-2.3500000000000227,12.200000000000045,1.1999999999999318,-13.600000000000023,-5.649999999999977,14.799999999999955,4.449999999999932,-14.25,4.449999999999932,18.699999999999932,21.51137,21.51137,51.359308,51.359308,51.359308,2.113012,2.113012,2.113012,12.710251,14.25,4.449999999999932,2026-03-11 09:21:44.502620,543.85,51.359308,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,20,53.143312,2.779999999998836,78300.0,-217.39999999999418,200.0,ITM,200,False,False,True,True,True,False
BFO:SENSEX2631278300PE|2026-03-11T09:25:20.385525,11Mar_trades.jsonl,2026-03-11 09:25:20.385525,BFO:SENSEX2631278300PE,PUT,,531.9,534.9,500,78300.0,2026-03-12,78103.69,2026-03-11 09:25:00,78109.42,,2026-03-11 09:26:22.144072,TARGET_HIT,534.9,1500.0,1500.0,0.0,3000.0,,,,,,,,29,2026-03-11 09:25:22.510055,2026-03-11 09:26:22.144072,2.12453,532.1,536.0,507.65,536.0,4.100000000000023,-24.25,0.20000000000004547,FAVOR,0.20000000000004547,-12.199999999999932,-12.199999999999932,12.399999999999977,0.20000000000004547,-18.699999999999932,-18.699999999999932,18.899999999999977,0.20000000000004547,-24.25,-21.5,24.450000000000045,0.20000000000004547,-24.25,-13.299999999999955,24.450000000000045,0.20000000000004547,-24.25,-6.25,24.450000000000045,1.8500000000000227,-24.25,-3.0499999999999545,26.100000000000023,32.03522,32.03522,44.792586,61.758547,61.758547,4.275557,4.275557,4.275557,4.275557,24.25,4.100000000000023,2026-03-11 09:26:22.144072,534.9,61.758547,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,25,20.385525,5.7299999999959255,78100.0,196.30999999999767,200.0,ITM,200,False,False,True,True,True,False
BFO:SENSEX2631278300PE|2026-03-11T09:30:07.549927,11Mar_trades.jsonl,2026-03-11 09:30:07.549927,BFO:SENSEX2631278300PE,PUT,,536.8,539.8,500,78300.0,2026-03-12,78076.68,2026-03-11 09:30:00,78081.85,,2026-03-11 09:30:22.471764,TARGET_HIT,539.8,1500.0,1500.0,0.0,4500.0,,,,,,,,7,2026-03-11 09:30:09.703653,2026-03-11 09:30:22.471764,2.153726,537.75,541.4,532.15,541.4,4.600000000000023,-4.649999999999977,0.9500000000000455,FAVOR,0.9500000000000455,-3.3999999999999773,-3.3999999999999773,4.350000000000023,0.9500000000000455,-4.649999999999977,-3.75,5.600000000000023,4.600000000000023,-4.649999999999977,4.600000000000023,9.25,4.600000000000023,-4.649999999999977,4.600000000000023,9.25,4.600000000000023,-4.649999999999977,4.600000000000023,9.25,4.600000000000023,-4.649999999999977,4.600000000000023,9.25,2.153726,14.921837,14.921837,14.921837,14.921837,4.317464,4.317464,4.317464,,4.649999999999977,4.600000000000023,2026-03-11 09:30:22.471764,539.8,14.921837,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,30,7.549927,5.170000000012806,78100.0,223.32000000000698,200.0,ITM,200,True,False,False,True,True,False
BFO:SENSEX2631278200PE|2026-03-11T09:35:11.223949,11Mar_trades.jsonl,2026-03-11 09:35:11.223949,BFO:SENSEX2631278200PE,PUT,,499.6,502.6,500,78200.0,2026-03-12,78045.88,2026-03-11 09:35:00,78048.57,,2026-03-11 09:35:13.365713,TARGET_HIT,502.6,1500.0,1500.0,0.0,6000.0,,,,,,,,1,2026-03-11 09:35:13.365713,2026-03-11 09:35:13.365713,2.141764,504.4,504.4,504.4,504.4,4.7999999999999545,4.7999999999999545,4.7999999999999545,FAVOR,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,4.7999999999999545,4.7999999999999545,4.7999999999999545,0.0,2.141764,2.141764,2.141764,2.141764,2.141764,,,,,0.0,4.7999999999999545,2026-03-11 09:35:13.365713,502.6,2.141764,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,35,11.223949,2.6900000000023283,78000.0,154.11999999999534,200.0,ITM,200,True,True,False,False,False,False
BFO:SENSEX2631278100PE|2026-03-11T09:40:05.921619,11Mar_trades.jsonl,2026-03-11 09:40:05.921619,BFO:SENSEX2631278100PE,PUT,,512.85,515.85,500,78100.0,2026-03-12,77927.6,2026-03-11 09:40:00,77928.52,,2026-03-11 09:40:20.989658,TARGET_HIT,515.85,1500.0,1500.0,0.0,7500.0,,,,,,,,7,2026-03-11 09:40:08.060348,2026-03-11 09:40:20.989658,2.138729,513.05,517.55,507.95,517.55,4.699999999999932,-4.900000000000034,0.1999999999999318,FAVOR,1.8500000000000227,0.1999999999999318,1.8500000000000227,1.650000000000091,1.8500000000000227,-4.900000000000034,-3.900000000000034,6.750000000000057,1.8500000000000227,-4.900000000000034,1.3500000000000227,6.750000000000057,4.699999999999932,-4.900000000000034,4.699999999999932,9.599999999999966,4.699999999999932,-4.900000000000034,4.699999999999932,9.599999999999966,4.699999999999932,-4.900000000000034,4.699999999999932,9.599999999999966,4.408311,4.408311,4.408311,15.068039,15.068039,6.541413,6.541413,6.541413,,4.900000000000034,4.699999999999932,2026-03-11 09:40:20.989658,515.85,15.068039,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,40,5.921619,0.9199999999982538,77900.0,172.39999999999418,200.0,ITM,200,True,True,False,False,True,False
BFO:SENSEX2631278100PE|2026-03-11T09:45:19.230539,11Mar_trades.jsonl,2026-03-11 09:45:19.230539,BFO:SENSEX2631278100PE,PUT,,500.2,503.2,500,78100.0,2026-03-12,77916.94,2026-03-11 09:45:00,77918.6,,2026-03-11 09:46:21.393056,TARGET_HIT,503.2,1500.0,1500.0,0.0,9000.0,,,,,,,,29,2026-03-11 09:45:21.355304,2026-03-11 09:46:21.393056,2.124765,501.05,505.5,482.0,505.5,5.300000000000011,-18.19999999999999,0.8500000000000227,FAVOR,0.8500000000000227,-0.8499999999999659,-0.8499999999999659,1.6999999999999886,0.8500000000000227,-1.099999999999966,-1.099999999999966,1.9499999999999886,1.3000000000000114,-3.5,-3.5,4.800000000000011,1.3000000000000114,-3.5,0.35000000000002274,4.800000000000011,1.3000000000000114,-9.550000000000011,-9.550000000000011,10.850000000000023,1.3000000000000114,-18.19999999999999,-0.6999999999999886,19.5,2.124765,10.703259,62.162517,62.162517,62.162517,8.566575,12.823435,12.823435,21.41565,18.19999999999999,5.300000000000011,2026-03-11 09:46:21.393056,503.2,62.162517,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,45,19.230539,1.6600000000034925,77900.0,183.05999999999767,200.0,ITM,200,True,False,False,False,False,False
BFO:SENSEX2631277800CE|2026-03-11T09:50:24.792859,11Mar_trades.jsonl,2026-03-11 09:50:24.792859,BFO:SENSEX2631277800CE,CALL,,573.4,576.4,500,77800.0,2026-03-12,77973.87,2026-03-11 09:50:00,77972.38,,2026-03-11 09:50:29.087088,TARGET_HIT,576.4,1500.0,1500.0,0.0,10500.0,,,,,,,,2,2026-03-11 09:50:26.961465,2026-03-11 09:50:29.087088,2.168606,572.6,577.55,572.6,577.55,4.149999999999977,-0.7999999999999545,-0.7999999999999545,AGAINST,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.149999999999977,-0.7999999999999545,4.149999999999977,4.949999999999932,4.294229,4.294229,4.294229,4.294229,4.294229,,,,,0.7999999999999545,4.149999999999977,2026-03-11 09:50:29.087088,576.4,4.294229,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,50,24.792859,1.4899999999906868,78000.0,-173.86999999999534,200.0,ITM,200,True,True,False,False,False,False
BFO:SENSEX2631278000PE|2026-03-11T09:55:12.212807,11Mar_trades.jsonl,2026-03-11 09:55:12.212807,BFO:SENSEX2631278000PE,PUT,,514.1,517.1,500,78000.0,2026-03-12,77800.04,2026-03-11 09:55:00,77804.4,,2026-03-11 09:55:16.471110,TARGET_HIT,517.1,1500.0,1500.0,0.0,12000.0,,,,,,,,2,2026-03-11 09:55:14.322442,2026-03-11 09:55:16.471110,2.109635,512.6,520.1,512.6,520.1,6.0,-1.5,-1.5,AGAINST,6.0,-1.5,6.0,7.5,6.0,-1.5,6.0,7.5,6.0,-1.5,6.0,7.5,6.0,-1.5,6.0,7.5,6.0,-1.5,6.0,7.5,6.0,-1.5,6.0,7.5,4.258303,4.258303,4.258303,4.258303,4.258303,2.109635,,,,1.5,6.0,2026-03-11 09:55:16.471110,517.1,4.258303,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,9,55,12.212807,4.360000000000582,77800.0,199.9600000000064,200.0,ITM,200,True,True,False,False,False,False
BFO:SENSEX2631277600CE|2026-03-11T10:00:36.751821,11Mar_trades.jsonl,2026-03-11 10:00:36.751821,BFO:SENSEX2631277600CE,CALL,,622.3,625.3,500,77600.0,2026-03-12,77820.7,2026-03-11 10:00:00,77819.78,,2026-03-11 10:03:02.194501,TARGET_HIT,625.3,1500.0,1500.0,0.0,13500.0,,,,,,,,68,2026-03-11 10:00:38.891376,2026-03-11 10:03:02.194501,2.139555,617.15,626.45,592.1,626.45,4.150000000000091,-30.199999999999932,-5.149999999999977,AGAINST,-5.149999999999977,-5.149999999999977,-5.149999999999977,0.0,-2.349999999999909,-5.149999999999977,-2.349999999999909,2.800000000000068,-2.099999999999909,-10.149999999999977,-10.149999999999977,8.050000000000068,-2.099999999999909,-14.699999999999932,-14.699999999999932,12.600000000000023,-2.099999999999909,-18.899999999999977,-18.899999999999977,16.800000000000068,-2.099999999999909,-20.899999999999977,-14.549999999999955,18.800000000000068,145.44268,145.44268,145.44268,145.44268,145.44268,2.139555,2.139555,2.139555,2.139555,30.199999999999932,4.150000000000091,2026-03-11 10:03:02.194501,625.3,145.44268,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,10,0,36.751821,0.9199999999982538,77800.0,-220.6999999999971,200.0,ITM,200,False,False,True,True,True,False
BFO:SENSEX2631277900PE|2026-03-11T10:10:09.920505,11Mar_trades.jsonl,2026-03-11 10:10:09.920505,BFO:SENSEX2631277900PE,PUT,,542.65,545.65,500,77900.0,2026-03-12,77696.99,2026-03-11 10:10:00,77699.44,,2026-03-11 10:10:18.520599,TARGET_HIT,545.65,1500.0,1500.0,0.0,15000.0,,,,,,,,4,2026-03-11 10:10:12.087905,2026-03-11 10:10:18.520599,2.1674,537.8,550.35,537.8,550.35,7.7000000000000455,-4.850000000000023,-4.850000000000023,AGAINST,-1.25,-4.850000000000023,-1.25,3.6000000000000227,7.7000000000000455,-4.850000000000023,7.7000000000000455,12.550000000000068,7.7000000000000455,-4.850000000000023,7.7000000000000455,12.550000000000068,7.7000000000000455,-4.850000000000023,7.7000000000000455,12.550000000000068,7.7000000000000455,-4.850000000000023,7.7000000000000455,12.550000000000068,7.7000000000000455,-4.850000000000023,7.7000000000000455,12.550000000000068,6.488465,6.488465,6.488465,6.488465,8.600094,2.1674,2.1674,2.1674,,4.850000000000023,7.7000000000000455,2026-03-11 10:10:18.520599,545.65,8.600094,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,10,10,9.920505,2.4499999999970896,77700.0,203.00999999999476,200.0,ITM,200,False,True,False,True,True,False
BFO:SENSEX2631277500CE|2026-03-11T10:17:29.561521,11Mar_trades.jsonl,2026-03-11 10:17:29.561521,BFO:SENSEX2631277500CE,CALL,,657.45,660.45,500,77500.0,2026-03-12,77731.38,2026-03-11 10:15:00,77726.1,,2026-03-11 10:17:35.975750,TARGET_HIT,660.45,1500.0,1500.0,0.0,16500.0,,,,,,,,3,2026-03-11 10:17:31.720032,2026-03-11 10:17:35.975750,2.158511,658.95,662.0,658.95,662.0,4.5499999999999545,1.5,1.5,FAVOR,1.9499999999999318,1.5,1.9499999999999318,0.4499999999999318,4.5499999999999545,1.5,4.5499999999999545,3.0499999999999545,4.5499999999999545,1.5,4.5499999999999545,3.0499999999999545,4.5499999999999545,1.5,4.5499999999999545,3.0499999999999545,4.5499999999999545,1.5,4.5499999999999545,3.0499999999999545,4.5499999999999545,1.5,4.5499999999999545,3.0499999999999545,2.158511,2.158511,2.158511,6.414229,6.414229,,,,,0.0,4.5499999999999545,2026-03-11 10:17:35.975750,660.45,6.414229,3.0,1500.0,1500.0,CLOSED,True,False,UNKNOWN,2026-03-11,10,17,149.561521,5.279999999998836,77700.0,-231.38000000000466,200.0,ITM,200,True,True,False,False,False,False
