rule_id,trade_id,entry_time,signal_kind,baseline_pnl,kept
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278100CE|2026-03-11T09:20:53.143312,2026-03-11 09:20:53.143312,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278300PE|2026-03-11T09:25:20.385525,2026-03-11 09:25:20.385525,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278300PE|2026-03-11T09:30:07.549927,2026-03-11 09:30:07.549927,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278200PE|2026-03-11T09:35:11.223949,2026-03-11 09:35:11.223949,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278100PE|2026-03-11T09:40:05.921619,2026-03-11 09:40:05.921619,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278100PE|2026-03-11T09:45:19.230539,2026-03-11 09:45:19.230539,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277800CE|2026-03-11T09:50:24.792859,2026-03-11 09:50:24.792859,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631278000PE|2026-03-11T09:55:12.212807,2026-03-11 09:55:12.212807,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277600CE|2026-03-11T10:00:36.751821,2026-03-11 10:00:36.751821,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277900PE|2026-03-11T10:10:09.920505,2026-03-11 10:10:09.920505,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277500CE|2026-03-11T10:17:29.561521,2026-03-11 10:17:29.561521,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277900PE|2026-03-11T10:25:52.002150,2026-03-11 10:25:52.002150,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277900PE|2026-03-11T10:34:18.472276,2026-03-11 10:34:18.472276,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277800PE|2026-03-11T10:40:02.820623,2026-03-11 10:40:02.820623,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277700PE|2026-03-11T10:45:04.740529,2026-03-11 10:45:04.740529,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277400CE|2026-03-11T10:50:53.812524,2026-03-11 10:50:53.812524,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277400CE|2026-03-11T11:03:17.263803,2026-03-11 11:03:17.263803,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277400CE|2026-03-11T11:05:56.789482,2026-03-11 11:05:56.789482,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277800PE|2026-03-11T11:10:11.157991,2026-03-11 11:10:11.157991,,1500.0,True
FILTER_KEEP_BEFORE_1300,BFO:SENSEX2631277700PE|2026-03-11T11:15:18.887657,2026-03-11 11:15:18.887657,,1500.0,True
