date,variant,signal_time,nearest_option_tick_time,entry_option_tick_time,signal_to_entry_ms,nearest_tick_lag_ms,option_tick_gap_before_entry_ms,option_tick_gap_after_entry_ms,selected_expiry,selected_strike,atm_distance_points,spread_at_entry,bid_at_entry,ask_at_entry,ltp_at_entry,top_depth_at_entry,direction,symbol,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,sensex_at_entry,sensex_move_3s,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-04-27,A_impulse_only,2026-04-27T09:15:02.550790,2026-04-27T14:45:03,2026-04-27T14:45:03,449.21,449.21,2000.0,1000.0,2026-04-30,76900,0,2.599999999999909,855.2,857.8,855.65,80.0,CE,BFO:SENSEX26APR76900CE,2026-04-27T14:45:03,2026-04-27T14:45:04,855.65,855.3,-0.35000000000002274,-175.00000000001137,-175.00000000001137,KILL_1S,1.0,0.0,-0.35000000000002274,76946.44,90.38999999999942,0.0,8.399999999999977,False,True,False,2.599999999999909,2.5,80.0,100.0,14:00-15:00,clean_trend_impulse
2026-04-27,A_impulse_only,2026-04-27T09:15:22.303926,2026-04-27T14:45:22,2026-04-27T14:45:23,696.074,-303.926,1000.0,0.0,2026-04-30,77000,0,1.099999999999966,375.3,376.4,375.55,120.0,PE,BFO:SENSEX26APR77000PE,2026-04-27T14:45:23,2026-04-27T14:45:34,375.55,376.7,1.1499999999999773,574.9999999999886,574.9999999999886,MAX_HOLD,11.0,2.1499999999999773,-0.19999999999998863,77040.15,-49.560000000012224,-0.5500000000000114,-1.5500000000000114,False,True,False,0.6999999999999886,0.9000000000000341,140.0,140.0,14:00-15:00,late_session_impulse
2026-04-27,A_impulse_only,2026-04-27T09:15:38.303831,2026-04-27T14:45:38,2026-04-27T14:45:39,696.169,-303.831,1000.0,0.0,2026-04-30,77000,0,0.5500000000000114,377.45,378.0,378.0,120.0,PE,BFO:SENSEX26APR77000PE,2026-04-27T14:45:39,2026-04-27T14:45:40,378.0,378.0,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,77025.81,-43.04000000000815,0.4000000000000341,0.4500000000000455,True,True,False,0.75,0.9499999999999886,140.0,90.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:15:54.304392,2026-04-27T14:45:54,2026-04-27T14:45:56,1695.608,-304.392,2000.0,1000.0,2026-04-30,77100,0,1.8999999999999773,710.9,712.8,710.95,80.0,CE,BFO:SENSEX26APR77100CE,2026-04-27T14:45:56,2026-04-27T14:45:57,710.95,710.95,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,77054.23,32.13999999999942,3.599999999999909,-0.8000000000000682,True,True,False,1.9500000000000455,1.900000000000034,180.0,110.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:16:12.353851,2026-04-27T14:46:12,2026-04-27T14:46:13,646.149,-353.851,1000.0,1000.0,2026-04-30,77100,0,1.3500000000000227,712.05,713.4,712.8,140.0,CE,BFO:SENSEX26APR77100CE,2026-04-27T14:46:13,2026-04-27T14:46:17,712.8,712.05,-0.75,-375.0,-375.0,KILL_3S,4.0,1.2000000000000455,-0.75,77149.47,39.88999999999942,1.5499999999999545,1.5499999999999545,True,True,False,1.8999999999999773,1.9499999999999318,100.0,110.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:16:33.401718,2026-04-27T14:46:33,2026-04-27T14:46:34,598.282,-401.718,1000.0,2000.0,2026-04-30,77100,0,2.0499999999999545,705.35,707.4,705.6,140.0,CE,BFO:SENSEX26APR77100CE,2026-04-27T14:46:34,2026-04-27T14:46:37,705.6,710.1,4.5,2250.0,2250.0,TARGET_HIT,3.0,4.5,0.0,77072.46,27.74000000000524,-0.8999999999999773,-0.8999999999999773,False,True,False,2.0,1.9500000000000455,160.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:17:34.618881,2026-04-27T14:47:35,2026-04-27T14:47:35,381.119,381.119,1000.0,0.0,2026-04-30,77000,0,2.150000000000091,776.8,778.95,777.55,300.0,CE,BFO:SENSEX26APR77000CE,2026-04-27T14:47:35,2026-04-27T14:47:37,777.55,786.7,9.150000000000091,4575.0000000000455,4575.0000000000455,TARGET_HIT,2.0,9.150000000000091,0.0,77024.18,35.00999999999476,1.4499999999999318,2.3999999999999773,True,True,False,2.150000000000091,2.1499999999999773,300.0,120.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:18:03.551116,2026-04-27T14:48:04,2026-04-27T14:48:04,448.884,448.884,2000.0,1000.0,2026-04-30,77000,0,1.9499999999999318,781.6,783.55,783.3,140.0,CE,BFO:SENSEX26APR77000CE,2026-04-27T14:48:04,2026-04-27T14:48:05,783.3,782.05,-1.25,-625.0,-625.0,KILL_1S,1.0,0.0,-1.25,77010.95,26.139999999999418,0.0,-1.1499999999999773,False,True,False,1.9499999999999318,1.7000000000000455,140.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:19:29.553041,2026-04-27T14:49:30,2026-04-27T14:49:30,446.959,446.959,1000.0,1000.0,2026-04-30,77000,0,1.1499999999999773,386.5,387.65,387.55,120.0,PE,BFO:SENSEX26APR77000PE,2026-04-27T14:49:30,2026-04-27T14:49:31,387.55,387.2,-0.35000000000002274,-175.00000000001137,-175.00000000001137,KILL_1S,1.0,0.0,-0.35000000000002274,77023.58,-26.0,-1.6000000000000227,0.39999999999997726,False,True,False,1.1499999999999773,1.0,120.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:20:05.555019,2026-04-27T14:50:06,2026-04-27T14:50:06,444.981,444.981,2000.0,2000.0,2026-04-30,77100,0,1.3000000000000682,719.55,720.85,719.2,120.0,CE,BFO:SENSEX26APR77100CE,2026-04-27T14:50:06,2026-04-27T14:50:08,719.2,718.65,-0.5500000000000682,-275.0000000000341,-275.0000000000341,KILL_1S,2.0,0.0,-0.5500000000000682,77084.92,26.95999999999185,0.0,6.2000000000000455,False,True,False,1.3000000000000682,1.9499999999999318,120.0,150.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:23:12.852492,2026-04-27T14:53:13,2026-04-27T14:53:13,147.508,147.508,1000.0,0.0,2026-04-30,77200,0,1.0500000000000114,454.95,456.0,454.65,80.0,PE,BFO:SENSEX26APR77200PE,2026-04-27T14:53:13,2026-04-27T14:53:16,454.65,454.15,-0.5,-250.0,-250.0,KILL_3S,3.0,1.3500000000000227,-0.5,77156.81,-29.19999999999709,-0.75,-0.5,False,True,False,1.0500000000000114,1.1999999999999886,80.0,80.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:34:41.556161,2026-04-27T15:04:42,2026-04-27T15:04:42,443.839,443.839,2000.0,0.0,2026-04-30,77000,0,0.9000000000000341,375.4,376.3,376.2,240.0,PE,BFO:SENSEX26APR77000PE,2026-04-27T15:04:42,2026-04-27T15:04:45,376.2,375.95,-0.25,-125.0,-125.0,KILL_3S,3.0,0.1500000000000341,-2.099999999999966,77032.55,-29.59999999999127,0.0,-2.3000000000000114,False,True,False,0.9000000000000341,1.0,240.0,120.0,15:00-15:30,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T09:37:06.601809,2026-04-27T15:07:07,2026-04-27T15:07:07,398.191,398.191,1000.0,1000.0,2026-04-30,77000,0,0.9499999999999886,384.75,385.7,384.75,140.0,PE,BFO:SENSEX26APR77000PE,2026-04-27T15:07:07,2026-04-27T15:07:17,384.75,383.55,-1.1999999999999886,-599.9999999999943,-599.9999999999943,MAX_HOLD,10.0,1.25,-1.1999999999999886,77046.92,-29.55999999999767,-0.25,-0.5,False,True,False,0.9499999999999886,0.700000000000017,140.0,80.0,15:00-15:30,choppy_fake_impulse
