date,sample_type,impulse_window,impulse_threshold,event_time,direction,sensex_move_1s,sensex_move_2s,sensex_move_3s,sensex_move_5s,sensex_acceleration,time_bucket,regime,selected_atm_symbol,selected_strike,selected_expiry,option_ltp_at_signal,option_move_pre_1s,option_move_pre_3s,spread,top_depth,tick_rate_last_5s,MFE_1s,MAE_1s,MFE_3s,MAE_3s,MFE_5s,MAE_5s,MFE_10s,MAE_10s,hit_plus_1_before_minus_1,hit_plus_2_before_minus_1,hit_plus_3_before_minus_2,tradable_after_cost_0_5pt
2026-04-27,primary,1,15,2026-04-27T09:15:02.550790,UP,81.63000000000466,90.38999999999942,90.38999999999942,90.38999999999942,72.8700000000099,09:15-10:00,clean_trend_impulse,BFO:SENSEX26APR76900CE,76900,2026-04-30,855.65,0.0,8.399999999999977,2.599999999999909,80.0,2,0.0,-0.35000000000002274,0.0,-1.8500000000000227,0.0,-2.8999999999999773,0.8999999999999773,-2.949999999999932,False,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:05.314851,UP,26.630000000004657,56.11999999999534,137.75,146.50999999999476,26.070000000006985,09:15-10:00,clean_trend_impulse,BFO:SENSEX26APR77000CE,77000,2026-04-30,792.0,-0.7999999999999545,1.1499999999999773,1.5,60.0,7,1.0499999999999545,0.0,1.0499999999999545,-1.2000000000000455,1.0499999999999545,-2.75,3.3999999999999773,-4.350000000000023,True,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:08.387461,UP,34.94999999999709,27.45999999999185,56.419999999998254,112.5399999999936,42.44000000000233,09:15-10:00,clean_trend_impulse,BFO:SENSEX26APR77100CE,77100,2026-04-30,728.05,0.9499999999999318,2.099999999999909,1.8999999999999773,160.0,6,1.6499999999999773,0.0,4.7000000000000455,0.0,4.7000000000000455,0.0,4.7000000000000455,0.0,True,True,True,True
2026-04-27,primary,1,15,2026-04-27T09:15:11.460655,UP,15.530000000013388,15.530000000013388,19.480000000010477,46.94000000000233,27.070000000006985,09:15-10:00,clean_trend_impulse,BFO:SENSEX26APR77100CE,77100,2026-04-30,725.9,-2.1499999999999773,-2.1499999999999773,1.8500000000000227,140.0,5,0.0,-3.9500000000000455,0.0,-3.9500000000000455,0.0,-4.0,0.0,-4.0,False,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:14.556654,DOWN,-27.229999999995925,-48.08999999999651,-12.220000000001164,3.3100000000122236,-42.23999999999069,09:15-10:00,calm_impulse,BFO:SENSEX26APR77100PE,77100,2026-04-30,414.4,3.349999999999966,2.1999999999999886,1.150000000000034,120.0,4,0.6000000000000227,-0.14999999999997726,0.6000000000000227,-1.5,0.6000000000000227,-3.9499999999999886,0.6000000000000227,-4.2999999999999545,False,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:17.605345,UP,15.150000000008731,1.3099999999976717,2.1999999999970896,-45.88999999999942,28.99000000001979,09:15-10:00,calm_impulse,BFO:SENSEX26APR77100CE,77100,2026-04-30,724.95,0.0,1.5,1.8999999999999773,160.0,5,0.0,0.0,0.049999999999954525,0.0,0.049999999999954525,0.0,0.049999999999954525,-5.350000000000023,False,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:20.339063,DOWN,-30.25,-8.979999999995925,6.170000000012806,-7.669999999998254,-22.25999999999476,09:15-10:00,calm_impulse,BFO:SENSEX26APR77100PE,77100,2026-04-30,410.45,-2.4499999999999886,-4.100000000000023,1.2000000000000455,100.0,5,0.0,-0.7999999999999545,1.5500000000000114,-0.7999999999999545,2.1000000000000227,-0.7999999999999545,3.650000000000034,-0.7999999999999545,True,True,True,True
2026-04-27,primary,1,15,2026-04-27T09:15:22.303926,DOWN,-19.310000000012224,-20.30000000000291,-49.560000000012224,-13.139999999999418,-8.650000000008731,09:15-10:00,calm_impulse,BFO:SENSEX26APR77000PE,77000,2026-04-30,374.0,-0.5500000000000114,-1.5500000000000114,0.6999999999999886,140.0,7,0.0,0.0,0.5500000000000114,-0.19999999999998863,2.1499999999999773,-0.19999999999998863,2.1499999999999773,-0.19999999999998863,True,True,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:24.362634,DOWN,-17.369999999995343,-12.599999999991269,-22.239999999990687,-62.16000000000349,-22.139999999999418,09:15-10:00,calm_impulse,BFO:SENSEX26APR77000PE,77000,2026-04-30,,0.0,1.0,,,6,0.0,-0.75,1.599999999999966,-0.75,1.599999999999966,-0.75,1.599999999999966,-0.75,True,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:28.303299,UP,28.589999999996508,13.389999999999418,25.619999999995343,13.020000000004075,43.25,09:15-10:00,calm_impulse,BFO:SENSEX26APR77100CE,77100,2026-04-30,720.5,0.8999999999999773,-2.75,1.8000000000000682,80.0,10,0.0,0.0,4.75,0.0,4.75,0.0,4.75,-0.6499999999999773,True,True,True,True
2026-04-27,primary,1,15,2026-04-27T09:15:30.302152,DOWN,-20.330000000001746,7.720000000001164,8.259999999994761,5.289999999993597,-32.38000000000466,09:15-10:00,choppy_fake_impulse,BFO:SENSEX26APR77000PE,77000,2026-04-30,375.6,-2.099999999999966,-1.3999999999999773,0.75,80.0,6,0.44999999999998863,0.0,0.44999999999998863,0.0,1.349999999999966,0.0,2.1999999999999886,0.0,True,True,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:34.501715,UP,21.169999999998254,17.94999999999709,24.75,32.69000000000233,17.589999999996508,09:15-10:00,calm_impulse,BFO:SENSEX26APR77100CE,77100,2026-04-30,,4.75,2.5,,,4,0.0,0.0,0.0,-4.850000000000023,0.0,-5.0499999999999545,0.0,-7.649999999999977,False,False,False,False
2026-04-27,primary,1,15,2026-04-27T09:15:36.348098,DOWN,-43.43000000000757,-23.270000000004075,-23.270000000004075,-19.69000000000233,-63.59000000001106,09:15-10:00,choppy_fake_impulse,BFO:SENSEX26APR77000PE,77000,2026-04-30,377.95,1.0500000000000114,0.8999999999999773,1.0500000000000114,380.0,6,0.4000000000000341,0.0,1.0500000000000114,0.0,3.8500000000000227,0.0,5.150000000000034,0.0,True,True,True,True
