variant,cost_model,latency_ms,trades,net_pnl,win_rate,profit_factor,max_dd,avg_pnl_per_trade
A_impulse_only,buy_ask_plus_0_25_sell_bid_minus_0_25,0,56,-31499.99999999995,0.14285714285714285,0.2539964476021312,-32624.99999999995,-562.4999999999991
A_impulse_only,buy_ask_plus_0_25_sell_bid_minus_0_25,250,56,-32924.99999999992,0.125,0.2338568935427576,-34049.99999999992,-587.9464285714272
A_impulse_only,buy_ask_plus_0_25_sell_bid_minus_0_25,500,56,-42449.99999999992,0.14285714285714285,0.18010622887494065,-43574.999999999935,-758.0357142857129
A_impulse_only,buy_ask_plus_0_25_sell_bid_minus_0_25,1000,56,-43199.99999999995,0.19642857142857142,0.19739897816999596,-43700.0,-771.4285714285705
A_impulse_only,buy_ask_plus_0_25_sell_bid_minus_0_25,2000,56,-53425.00000000003,0.125,0.12057613168724259,-54700.00000000008,-954.0178571428577
A_impulse_only,buy_ask_sell_bid,0,56,-17499.99999999995,0.25,0.4341147938561028,-20700.00000000005,-312.4999999999991
A_impulse_only,buy_ask_sell_bid,250,56,-18924.99999999992,0.23214285714285715,0.39536741214057514,-22125.000000000022,-337.94642857142713
A_impulse_only,buy_ask_sell_bid,500,56,-28449.99999999992,0.21428571428571427,0.2927284027346188,-30324.999999999938,-508.03571428571286
A_impulse_only,buy_ask_sell_bid,1000,56,-29199.99999999995,0.26785714285714285,0.32093023255814046,-30199.99999999997,-521.4285714285705
A_impulse_only,buy_ask_sell_bid,2000,56,-39425.00000000003,0.17857142857142858,0.18920308483290457,-41200.000000000065,-704.0178571428577
A_impulse_only,half_point_roundtrip,0,56,-6799.999999999964,0.19642857142857142,0.719876416065913,-13474.99999999997,-121.42857142857078
A_impulse_only,half_point_roundtrip,250,56,-11050.000000000004,0.16071428571428573,0.5708737864077672,-17725.00000000002,-197.32142857142864
A_impulse_only,half_point_roundtrip,500,56,-20849.999999999993,0.16071428571428573,0.4216366158113739,-27025.0,-372.32142857142844
A_impulse_only,half_point_roundtrip,1000,56,-20250.000000000095,0.21428571428571427,0.47058823529411675,-26225.00000000012,-361.60714285714454
A_impulse_only,half_point_roundtrip,2000,56,-30325.00000000006,0.19642857142857142,0.28054567022538446,-32600.000000000065,-541.5178571428581
