regime,time_bucket,direction,events,avg_MFE_3s,avg_MAE_3s,avg_MFE_10s,hit_plus_3_rate,tradable_after_cost_0_5pt_rate
clean_trend_impulse,09:15-10:00,UP,82,1.24451219512197,-2.4597560975609873,2.747560975609761,0.36585365853658536,0.34146341463414637
choppy_fake_impulse,09:15-10:00,UP,790,1.5646835443037967,-1.980443037974684,3.297594936708859,0.3240506329113924,0.289873417721519
liquidity_vacuum_impulse,09:15-10:00,DOWN,86,0.9500000000000024,-1.174999999999991,2.233139534883725,0.37209302325581395,0.2558139534883721
liquidity_vacuum_impulse,09:15-10:00,UP,182,1.4978021978021885,-2.946153846153846,3.2807692307692276,0.2692307692307692,0.24175824175824176
calm_impulse,09:15-10:00,DOWN,285,0.876315789473681,-0.8194736842105228,1.88719298245614,0.24561403508771928,0.16842105263157894
choppy_fake_impulse,09:15-10:00,DOWN,980,0.8438265306122457,-0.8684693877551021,1.812551020408164,0.17959183673469387,0.15612244897959185
calm_impulse,09:15-10:00,UP,234,1.2873931623931552,-2.1641025641025653,2.3946581196581143,0.14957264957264957,0.1282051282051282
clean_trend_impulse,09:15-10:00,DOWN,50,0.8690000000000043,-0.8859999999999979,2.077000000000012,0.2,0.08
