bucket,variant_name,date,timestamp,symbol,side,strike,atm_distance_points,atm_distance_abs,ltp,spread,spread_pct,depth_min_qty,score,score_components,entry_price,exit_price,points_pnl,gross_pnl,net_pnl,exit_reason,rank_score,candle_context,context_agrees,loose_context_agrees
top_winner,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,2026-04-30,2026-04-30 11:40:30,BFO:SENSEX26APR76400PE,PUT,76400.0,0,0,147.75,0.30000000000001137,0.002030456852791955,920.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 1, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",147.75,160.25,12.5,25250.0,25250.0,TARGET_HIT,5231.124258285694,bullish,False,False
top_loser,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,2026-04-30,2026-04-30 13:00:48,BFO:SENSEX26APR76700PE,PUT,76700.0,-100,100,84.35,0.29999999999999716,0.003556609365737963,420.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",84.35,78.0,-6.349999999999994,-22478.999999999978,-22478.999999999978,EDGE_HARD_STOP,4341.332715771571,neutral,False,True
top_loser,LOOSE_CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 13:00:48,BFO:SENSEX26APR76700PE,PUT,76700.0,-100,100,84.35,0.29999999999999716,0.003556609365737963,420.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",84.35,78.0,-6.349999999999994,-22478.999999999978,-22478.999999999978,EDGE_HARD_STOP,4341.332715771571,neutral,False,True
top_loser,ATM100_SCORE4_TRANSMISSION,2026-04-30,2026-04-30 13:00:48,BFO:SENSEX26APR76700PE,PUT,76700.0,-100,100,84.35,0.29999999999999716,0.003556609365737963,420.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",84.35,78.0,-6.349999999999994,-22478.999999999978,-22478.999999999978,EDGE_HARD_STOP,4341.332715771571,neutral,False,True
top_loser,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,2026-04-30,2026-04-30 10:14:55,BFO:SENSEX26APR76400PE,PUT,76400.0,0,0,153.85,0.39999999999997726,0.0025999350016248117,300.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 1}",153.85,143.55,-10.299999999999983,-19981.999999999967,-19981.999999999967,EDGE_HARD_STOP,5684.240583093717,neutral,False,True
top_loser,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,2026-04-30,2026-04-30 10:14:55,BFO:SENSEX26APR76400PE,PUT,76400.0,0,0,153.85,0.39999999999997726,0.0025999350016248117,300.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 1}",153.85,143.55,-10.299999999999983,-19981.999999999967,-19981.999999999967,EDGE_HARD_STOP,5684.240583093717,neutral,False,True
top_loser,ATM100_SCORE4_STRONG_TRANSMISSION,2026-04-30,2026-04-30 14:21:29,BFO:SENSEX26APR77000PE,PUT,77000.0,100,100,136.45,0.75,0.005496518871381459,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",136.45,127.8,-8.649999999999991,-18856.99999999998,-18856.99999999998,EDGE_HARD_STOP,6433.786451077647,bearish,True,True
top_loser,CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 14:21:29,BFO:SENSEX26APR77000PE,PUT,77000.0,100,100,136.45,0.75,0.005496518871381459,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",136.45,127.8,-8.649999999999991,-18856.99999999998,-18856.99999999998,EDGE_HARD_STOP,6433.786451077647,bearish,True,True
top_loser,ATM100_SCORE4_TRANSMISSION,2026-04-30,2026-04-30 14:21:29,BFO:SENSEX26APR77000PE,PUT,77000.0,100,100,136.45,0.75,0.005496518871381459,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",136.45,127.8,-8.649999999999991,-18856.99999999998,-18856.99999999998,EDGE_HARD_STOP,6433.786451077647,bearish,True,True
top_loser,LOOSE_CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 14:21:29,BFO:SENSEX26APR77000PE,PUT,77000.0,100,100,136.45,0.75,0.005496518871381459,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",136.45,127.8,-8.649999999999991,-18856.99999999998,-18856.99999999998,EDGE_HARD_STOP,6433.786451077647,bearish,True,True
