date,variant_name,candidate_count,selected_trades,gross_pnl,net_pnl,win_rate,avg_pnl,profit_factor,max_drawdown,target_hits,one_sec_kills,three_sec_kills,hard_stops,promoted_count,promoted_pnl,average_hold_time,average_runup,average_drawdown,delta_net_pnl_vs_actual,delta_trade_count_vs_actual,delta_profit_factor_vs_actual,delta_max_drawdown_vs_actual
2026-04-27,actual_system,,48,-10675.00000000001,-10675.00000000001,0.375,-222.3958333333335,0.6770045385779121,-30349.999999999964,13,18,14,3,6,-200.00000000004547,3.5748001666666673,1.7770833333333371,-1.9218749999999976,0.0,0.0,0.0,0.0
2026-04-27,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM200_SCORE5_P100_350,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,LOOSE_CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE4_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE4_STRONG_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-28,actual_system,,44,-9049.999999999869,-9049.999999999869,0.4772727272727273,-205.6818181818152,0.7484364141765145,-33624.999999999854,16,14,10,4,2,-1199.9999999999886,3.399122636363636,1.9659090909090908,-1.988636363636361,0.0,0.0,0.0,0.0
2026-04-28,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM200_SCORE5_P100_350,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,LOOSE_CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE4_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE4_STRONG_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-29,actual_system,,39,-26199.999999999905,-26199.999999999905,0.358974358974359,-671.7948717948693,0.42606790799561994,-42124.99999999988,11,13,8,7,3,524.9999999999773,3.726926538461539,1.7499999999999984,-2.5589743589743548,0.0,0.0,0.0,0.0
2026-04-29,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,35.0,33,15856.000000000033,15856.000000000033,0.3333333333333333,480.48484848484946,1.642073294189109,-9139.000000000022,7,16,10,0,6,17423.999999999985,2.515151515151515,1.3378787878787863,-0.8409090909090892,42055.99999999994,-6.0,1.216005386193489,32985.99999999986
2026-04-29,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,6.0,6,17423.999999999985,17423.999999999985,0.6666666666666666,2903.9999999999977,11.421052631578885,-1672.0000000000073,2,1,3,0,6,17423.999999999985,3.0,3.2166666666666637,-0.3249999999999981,43623.99999999989,-33.0,10.994984723583265,40452.999999999876
2026-04-29,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,21.0,21,16660.999999999993,16660.999999999993,0.47619047619047616,793.3809523809521,2.2924520983631917,-4097.000000000007,2,7,12,0,21,16660.999999999993,2.4285714285714284,1.5476190476190477,-0.5214285714285736,42860.9999999999,-18.0,1.8663841903675717,38027.999999999876
2026-04-29,CTX_ATM100_SCORE4_P80_300,11.0,11,-6037.999999999923,-6037.999999999923,0.09090909090909091,-548.9090909090838,0.37117267235992885,-7442.0,1,8,2,0,0,0.0,1.4545454545454546,0.5727272727272686,-0.9363636363636322,20161.99999999998,-28.0,-0.0548952356356911,34682.99999999988
