target_points,touch_rate_all,touch_rate_winners,touch_rate_losers
2.0,0.7192982456140351,1.0,0.0
3.0,0.6842105263157895,0.9512195121951219,0.0
4.0,0.38596491228070173,0.5365853658536586,0.0
5.0,0.19298245614035087,0.2682926829268293,0.0
weak_follow_through_warning,0.22807017543859648,0.04878048780487805,0.6875
non_target_exits_post_exit_target_touch,0.1875,,
