trade_id,entry_time,symbol,signal_kind,side,entry_price,target_price,quantity,exit_time,exit_reason,exit_price,net_pnl,tick_count_term,runup_5s_term,runup_10s_term,drawdown_5s_term,drawdown_10s_term,mfe_term,mae_term,first_plus_0_5_sec_term,first_minus_1_sec_term,is_tail,is_win,weak_confirm10_term,sharp_dd10_term
BFO:SENSEX2631976300CE|2026-03-18T09:20:05.041760,2026-03-18 09:20:05.041760,BFO:SENSEX2631976300CE,,CALL,530.55,533.55,1080.0,2026-03-18 09:20:09.478663,TARGET_HIT,533.55,3240.0,3.0,0.0,0.0,-5.25,-5.25,0.0,-5.25,,0.95824,False,True,True,True
BFO:SENSEX2631976600PE|2026-03-18T09:25:02.423843,2026-03-18 09:25:02.423843,BFO:SENSEX2631976600PE,,PUT,543.8,546.8,1060.0,2026-03-18 09:25:04.638355,TARGET_HIT,546.8,3180.0,,,,,,,,,,False,True,False,False
BFO:SENSEX2631976300CE|2026-03-18T09:30:05.691579,2026-03-18 09:30:05.691579,BFO:SENSEX2631976300CE,,CALL,496.0,499.0,1160.0,2026-03-18 09:30:09.027922,TARGET_HIT,499.0,3480.0,2.0,0.0,0.0,-0.30000000000001137,-0.30000000000001137,0.0,-0.30000000000001137,,,False,True,True,False
BFO:SENSEX2631976300CE|2026-03-18T09:35:01.813095,2026-03-18 09:35:01.813095,BFO:SENSEX2631976300CE,,CALL,503.9,506.9,1140.0,2026-03-18 09:37:53.796725,TARGET_HIT,506.9,3420.0,120.0,-3.349999999999966,-3.349999999999966,-10.799999999999955,-10.799999999999955,1.1000000000000227,-23.94999999999999,168.186905,0.186905,False,True,True,True
BFO:SENSEX2631976300CE|2026-03-18T09:50:02.610712,2026-03-18 09:50:02.610712,BFO:SENSEX2631976300CE,,CALL,524.7,527.7,1100.0,2026-03-18 09:50:07.198042,TARGET_HIT,527.7,3300.0,2.0,2.949999999999932,2.949999999999932,-4.050000000000068,-4.050000000000068,2.949999999999932,-4.050000000000068,4.389288,3.389288,False,True,False,True
BFO:SENSEX2631976700PE|2026-03-18T09:55:06.385645,2026-03-18 09:55:06.385645,BFO:SENSEX2631976700PE,,PUT,523.4,526.4,1100.0,2026-03-18 09:55:13.024588,TARGET_HIT,526.4,3300.0,4.0,2.1499999999999773,2.1499999999999773,1.0500000000000682,1.0500000000000682,2.1499999999999773,1.0500000000000682,0.614355,,False,True,False,False
BFO:SENSEX2631976500PE|2026-03-18T10:05:09.179260,2026-03-18 10:05:09.179260,BFO:SENSEX2631976500PE,,PUT,556.95,559.95,1040.0,2026-03-18 10:05:14.706446,TARGET_HIT,559.95,3120.0,3.0,2.25,2.25,-4.0,-4.0,2.25,-4.0,4.82074,1.82074,False,True,False,True
BFO:SENSEX2631976500PE|2026-03-18T10:10:00.416022,2026-03-18 10:10:00.416022,BFO:SENSEX2631976500PE,,PUT,563.2,566.2,1020.0,2026-03-18 10:10:10.301082,TARGET_HIT,566.2,3060.0,6.0,-4.25,3.2999999999999545,-5.650000000000091,-5.650000000000091,3.2999999999999545,-5.650000000000091,9.583978,2.583978,False,True,False,True
BFO:SENSEX2631976100CE|2026-03-18T10:15:06.005447,2026-03-18 10:15:06.005447,BFO:SENSEX2631976100CE,,CALL,538.3,541.3,1060.0,2026-03-18 10:15:18.103275,TARGET_HIT,541.3,3180.0,6.0,0.75,0.75,-0.6499999999999773,-0.6499999999999773,1.400000000000091,-0.6499999999999773,1.994553,,False,True,True,False
BFO:SENSEX2631976300CE|2026-03-18T10:20:07.142365,2026-03-18 10:20:07.142365,BFO:SENSEX2631976300CE,,CALL,479.4,482.4,1200.0,2026-03-18 10:20:10.498666,TARGET_HIT,482.4,3600.0,3.0,58.35000000000002,58.35000000000002,-0.75,-0.75,58.35000000000002,-0.75,2.857635,,False,True,False,False
BFO:SENSEX2631976400CE|2026-03-18T10:25:35.672741,2026-03-18 10:25:35.672741,BFO:SENSEX2631976400CE,,CALL,472.0,475.0,1220.0,2026-03-18 10:26:32.304858,TARGET_HIT,475.0,3660.0,41.0,-2.0,-2.0,-4.649999999999977,-6.149999999999977,-0.8500000000000227,-11.399999999999977,,1.327259,False,True,True,True
BFO:SENSEX2631976700PE|2026-03-18T10:30:04.714184,2026-03-18 10:30:04.714184,BFO:SENSEX2631976700PE,,PUT,510.9,513.9,1120.0,2026-03-18 10:30:46.552465,TARGET_HIT,513.9,3360.0,29.0,0.0,0.0,-2.1499999999999773,-8.849999999999966,2.8999999999999773,-41.39999999999998,41.285816,3.285816,False,True,True,True
BFO:SENSEX2631976400CE|2026-03-18T10:35:35.698637,2026-03-18 10:35:35.698637,BFO:SENSEX2631976400CE,,CALL,481.6,484.6,1200.0,2026-03-18 10:37:00.654946,TARGET_HIT,484.6,3600.0,59.0,0.6999999999999886,29.399999999999977,-5.150000000000034,-10.950000000000045,29.399999999999977,-20.200000000000045,1.301363,3.301363,False,True,False,True
BFO:SENSEX2631976700PE|2026-03-18T10:40:10.901026,2026-03-18 10:40:10.901026,BFO:SENSEX2631976700PE,,PUT,482.15,485.15,1200.0,2026-03-18 10:40:11.999651,TARGET_HIT,485.15,3600.0,1.0,4.550000000000011,4.550000000000011,4.550000000000011,4.550000000000011,4.550000000000011,4.550000000000011,0.098974,,False,True,False,False
BFO:SENSEX2631976700PE|2026-03-18T10:45:00.386917,2026-03-18 10:45:00.386917,BFO:SENSEX2631976700PE,,PUT,503.1,506.1,1140.0,2026-03-18 10:45:03.790489,TARGET_HIT,506.1,3420.0,3.0,4.25,4.25,2.8999999999999773,2.8999999999999773,4.25,2.8999999999999773,0.613083,,False,True,False,False
BFO:SENSEX2631976500CE|2026-03-18T10:50:04.211126,2026-03-18 10:50:04.211126,BFO:SENSEX2631976500CE,,CALL,494.0,497.0,1160.0,2026-03-18 10:50:09.763448,TARGET_HIT,497.0,3480.0,1.0,-1.1999999999999886,-1.1999999999999886,-1.1999999999999886,-1.1999999999999886,-1.1999999999999886,-1.1999999999999886,,4.788874,False,True,True,False
BFO:SENSEX2631976500CE|2026-03-18T11:00:02.043122,2026-03-18 11:00:02.043122,BFO:SENSEX2631976500CE,,CALL,509.85,512.85,1120.0,2026-03-18 11:00:23.957632,TARGET_HIT,512.85,3360.0,14.0,0.5,0.5,-0.20000000000004547,-5.650000000000034,0.5,-5.75,4.956878,6.956878,False,True,True,True
BFO:SENSEX2631976500CE|2026-03-18T11:05:24.670120,2026-03-18 11:05:24.670120,BFO:SENSEX2631976500CE,,CALL,522.4,525.4,1100.0,2026-03-18 11:09:21.677566,TARGET_HIT,525.4,3300.0,166.0,0.39999999999997726,0.6000000000000227,-2.75,-7.399999999999977,3.3999999999999773,-18.94999999999999,5.32988,3.32988,False,True,True,True
