date,bucket,open,close,net_move,range,abs_move_1m,trend_ratio,trades,net_pnl,win_rate,call_pnl,put_pnl,regime,tod_group
2026-04-13,09:15-09:45,75930.04,76171.95,241.9100000000035,264.11999999999534,679.8299999999872,0.35583895973994684,3,4500.0,100.0,1500.0,3000.0,Directional Up,EARLY
2026-04-13,09:45-10:15,76122.58,76249.95,127.36999999999534,190.77000000000407,528.4300000000221,0.24103476335558166,4,-2475.0000000000227,50.0,-2475.0000000000227,0.0,Directional Up,EARLY
2026-04-13,10:15-10:45,76210.31,76479.44,269.13000000000466,295.95000000001164,810.2700000000477,0.33214854307821934,5,-2975.0000000000227,60.0,-4475.000000000023,1500.0,Directional Up,EARLY
2026-04-13,10:45-11:15,76497.95,76485.0,-12.94999999999709,89.51999999998952,524.9900000000052,0.024667136516880246,6,2874.999999999943,50.0,3524.9999999999777,-650.0000000000341,High-Chop,EARLY
2026-04-13,11:15-11:45,76509.25,76532.76,23.50999999999476,122.14999999999418,497.5499999999156,0.04725153250929304,4,1200.0000000000455,75.0,450.0000000000455,750.0,High-Chop,MID
2026-04-13,11:45-12:15,76560.13,76721.65,161.51999999998952,164.90999999998894,489.8399999999965,0.3297403233708776,6,-3050.0000000000114,50.0,1925.0000000000114,-4975.000000000023,Directional Up,MID
2026-04-13,12:15-12:45,76720.56,76816.24,95.68000000000757,140.70000000001164,482.0200000000332,0.19849798763536985,3,-1949.9999999999886,66.66666666666666,-1949.9999999999886,0.0,Directional Up,MID
2026-04-13,12:45-13:15,76787.44,76739.83,-47.61000000000058,227.08000000000175,731.6499999999796,0.06507209731429223,3,224.9999999999659,33.33333333333333,-275.0000000000341,500.0,High-Chop,MID
2026-04-13,13:15-13:45,76755.05,76829.34,74.2899999999936,168.52999999999884,481.870000000039,0.1541702118828472,4,949.9999999999886,50.0,1550.0000000000114,-600.0000000000227,Directional Up,LATE
2026-04-13,13:45-14:15,76810.05,76902.6,92.55000000000291,238.5500000000029,573.9300000000658,0.1612565992368273,6,1024.9999999999773,66.66666666666666,-25.000000000034106,1050.0000000000114,Directional Up,LATE
2026-04-13,14:15-14:45,76879.98,76952.48,72.5,170.7600000000093,527.219999999943,0.1375137513751524,5,7500.0,100.0,6000.0,1500.0,Directional Up,LATE
2026-04-13,14:45-15:15,76964.69,76859.36,-105.33000000000175,215.99000000000524,954.5899999999237,0.1103405650593555,1,-1725.0000000000227,0.0,0.0,-1725.0000000000227,High-Chop,LATE
2026-04-15,09:15-09:45,78184.06,78037.75,-146.30999999999767,325.1999999999971,773.0699999999488,0.18925841126936419,4,-75.00000000001683,50.0,-50.00000000001137,-25.000000000005457,Directional Down,EARLY
2026-04-15,09:45-10:15,78079.7,78163.97,84.27000000000407,213.58000000000175,565.8499999999913,0.14892639392065984,6,1799.9999999999827,66.66666666666666,4000.0,-2200.0000000000173,Directional Up,EARLY
2026-04-15,10:15-10:45,78188.79,78134.94,-53.84999999999127,113.41999999999825,410.7299999999959,0.13110802717111436,4,-5549.9999999999545,0.0,-5549.9999999999545,0.0,Low-Energy Chop,EARLY
