trade_id,focus_criteria,signal_kind,direction,entry_time,mark_time,seconds_since_entry,ltp,entry_price,pnl_delta,cum_mfe,cum_mae,drawdown_from_peak,exit_reason,realized_pnl
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:05.374622,1.10721,279.45,280.85,-1.400000000000034,-1.400000000000034,-1.400000000000034,0.0,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:06.472284,2.204872,279.45,280.85,-1.400000000000034,-1.400000000000034,-1.400000000000034,0.0,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:07.574287,3.306875,273.2,280.85,-7.650000000000034,-1.400000000000034,-7.650000000000034,-6.25,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:08.689134,4.421722,275.15,280.85,-5.7000000000000455,-1.400000000000034,-7.650000000000034,-4.300000000000011,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:09.815902,5.54849,274.55,280.85,-6.300000000000011,-1.400000000000034,-7.650000000000034,-4.899999999999977,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:10.914732,6.64732,276.05,280.85,-4.800000000000011,-1.400000000000034,-7.650000000000034,-3.3999999999999773,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:12.010472,7.74306,276.8,280.85,-4.050000000000011,-1.400000000000034,-7.650000000000034,-2.6499999999999773,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:13.108512,8.8411,275.75,280.85,-5.100000000000023,-1.400000000000034,-7.650000000000034,-3.6999999999999886,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:14.220415,9.953003,276.65,280.85,-4.2000000000000455,-1.400000000000034,-7.650000000000034,-2.8000000000000114,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:15.321211,11.053799,275.2,280.85,-5.650000000000034,-1.400000000000034,-7.650000000000034,-4.25,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:16.417849,12.150437,267.05,280.85,-13.800000000000011,-1.400000000000034,-13.800000000000011,-12.399999999999977,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:17.518247,13.250835,263.9,280.85,-16.950000000000045,-1.400000000000034,-16.950000000000045,-15.550000000000011,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:18.628014,14.360602,265.95,280.85,-14.900000000000034,-1.400000000000034,-16.950000000000045,-13.5,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:19.723283,15.455871,265.6,280.85,-15.25,-1.400000000000034,-16.950000000000045,-13.849999999999966,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:20.828783,16.561371,265.9,280.85,-14.950000000000045,-1.400000000000034,-16.950000000000045,-13.550000000000011,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:21.946494,17.679082,267.0,280.85,-13.850000000000023,-1.400000000000034,-16.950000000000045,-12.449999999999989,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:23.049413,18.782001,267.0,280.85,-13.850000000000023,-1.400000000000034,-16.950000000000045,-12.449999999999989,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:24.157798,19.890386,268.6,280.85,-12.25,-1.400000000000034,-16.950000000000045,-10.849999999999966,TIME_STOP_AFTER_1PM,-37492.000000000095
BFO:SENSEX2631974400CE|2026-03-19T14:35:04.267412,"TOP10_PNL,TOP10_DD,MANUAL_OR_TIME_STOP",CONTINUATION_CALL,CALL,2026-03-19 14:35:04.267412,2026-03-19 14:35:25.261618,20.994206,268.4,280.85,-12.450000000000045,-1.400000000000034,-16.950000000000045,-11.050000000000011,TIME_STOP_AFTER_1PM,-37492.000000000095
