entry_date,trade_id,source_file,signal_family,signal_kind,side,symbol,entry_time,entry_hm,tod_bucket,source_candle_start,trigger_price,underlying_spot,entry_price,target_price,quantity,exit_time,exit_reason,exit_price,net_pnl_effective,holding_seconds,holding_bucket,tick_count,runup_5s,runup_10s,runup_15s,dd_5s,dd_10s,dd_15s,mfe_points,mae_points,first_plus_0_5_sec,first_minus_1_sec,early_failure_logged,early_behavior_class,pnl_severity,outcome_class,exit_path_class,trade_nature
2026-03-11,BFO:SENSEX2631278100CE|2026-03-11T09:20:53.143312,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631278100CE,2026-03-11 09:20:53.143312,09:20:53,PRE_1PM,2026-03-11 09:20:00,78314.62,78317.4,540.85,543.85,500.0,2026-03-11 09:21:44.502620,TARGET_HIT,543.85,1500.0,51.359308,SHORT_15_60S,24,-1.3999999999999773,-1.3999999999999773,-1.3999999999999773,-4.399999999999977,-4.600000000000023,-13.600000000000023,4.449999999999932,-14.25,21.51137,2.113012,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631278300PE|2026-03-11T09:25:20.385525,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278300PE,2026-03-11 09:25:20.385525,09:25:20,PRE_1PM,2026-03-11 09:25:00,78109.42,78103.69,531.9,534.9,500.0,2026-03-11 09:26:22.144072,TARGET_HIT,534.9,1500.0,61.758547,MEDIUM_60_300S,29,0.20000000000004547,0.20000000000004547,0.20000000000004547,-12.199999999999932,-18.699999999999932,-24.25,4.100000000000023,-24.25,32.03522,4.275557,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631278300PE|2026-03-11T09:30:07.549927,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278300PE,2026-03-11 09:30:07.549927,09:30:07,PRE_1PM,2026-03-11 09:30:00,78081.85,78076.68,536.8,539.8,500.0,2026-03-11 09:30:22.471764,TARGET_HIT,539.8,1500.0,14.921837,SCALP_0_15S,7,0.9500000000000455,0.9500000000000455,4.600000000000023,-3.3999999999999773,-4.649999999999977,-4.649999999999977,4.600000000000023,-4.649999999999977,2.153726,4.317464,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631278200PE|2026-03-11T09:35:11.223949,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278200PE,2026-03-11 09:35:11.223949,09:35:11,PRE_1PM,2026-03-11 09:35:00,78048.57,78045.88,499.6,502.6,500.0,2026-03-11 09:35:13.365713,TARGET_HIT,502.6,1500.0,2.141764,SCALP_0_15S,1,4.7999999999999545,4.7999999999999545,4.7999999999999545,4.7999999999999545,4.7999999999999545,4.7999999999999545,4.7999999999999545,4.7999999999999545,2.141764,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631278100PE|2026-03-11T09:40:05.921619,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278100PE,2026-03-11 09:40:05.921619,09:40:05,PRE_1PM,2026-03-11 09:40:00,77928.52,77927.6,512.85,515.85,500.0,2026-03-11 09:40:20.989658,TARGET_HIT,515.85,1500.0,15.068039,SHORT_15_60S,7,1.8500000000000227,1.8500000000000227,1.8500000000000227,0.1999999999999318,-4.900000000000034,-4.900000000000034,4.699999999999932,-4.900000000000034,4.408311,6.541413,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631278100PE|2026-03-11T09:45:19.230539,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278100PE,2026-03-11 09:45:19.230539,09:45:19,PRE_1PM,2026-03-11 09:45:00,77918.6,77916.94,500.2,503.2,500.0,2026-03-11 09:46:21.393056,TARGET_HIT,503.2,1500.0,62.162517,MEDIUM_60_300S,29,0.8500000000000227,0.8500000000000227,1.3000000000000114,-0.8499999999999659,-1.099999999999966,-3.5,5.300000000000011,-18.19999999999999,2.124765,8.566575,False,WEAK_CONFIRM_ONLY,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277800CE|2026-03-11T09:50:24.792859,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277800CE,2026-03-11 09:50:24.792859,09:50:24,PRE_1PM,2026-03-11 09:50:00,77972.38,77973.87,573.4,576.4,500.0,2026-03-11 09:50:29.087088,TARGET_HIT,576.4,1500.0,4.294229,SCALP_0_15S,2,4.149999999999977,4.149999999999977,4.149999999999977,-0.7999999999999545,-0.7999999999999545,-0.7999999999999545,4.149999999999977,-0.7999999999999545,4.294229,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631278000PE|2026-03-11T09:55:12.212807,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631278000PE,2026-03-11 09:55:12.212807,09:55:12,PRE_1PM,2026-03-11 09:55:00,77804.4,77800.04,514.1,517.1,500.0,2026-03-11 09:55:16.471110,TARGET_HIT,517.1,1500.0,4.258303,SCALP_0_15S,2,6.0,6.0,6.0,-1.5,-1.5,-1.5,6.0,-1.5,4.258303,2.109635,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277600CE|2026-03-11T10:00:36.751821,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277600CE,2026-03-11 10:00:36.751821,10:00:36,PRE_1PM,2026-03-11 10:00:00,77819.78,77820.7,622.3,625.3,500.0,2026-03-11 10:03:02.194501,TARGET_HIT,625.3,1500.0,145.44268,MEDIUM_60_300S,68,-5.149999999999977,-2.349999999999909,-2.099999999999909,-5.149999999999977,-5.149999999999977,-10.149999999999977,4.150000000000091,-30.199999999999932,145.44268,2.139555,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277900PE|2026-03-11T10:10:09.920505,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277900PE,2026-03-11 10:10:09.920505,10:10:09,PRE_1PM,2026-03-11 10:10:00,77699.44,77696.99,542.65,545.65,500.0,2026-03-11 10:10:18.520599,TARGET_HIT,545.65,1500.0,8.600094,SCALP_0_15S,4,-1.25,7.7000000000000455,7.7000000000000455,-4.850000000000023,-4.850000000000023,-4.850000000000023,7.7000000000000455,-4.850000000000023,6.488465,2.1674,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277500CE|2026-03-11T10:17:29.561521,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277500CE,2026-03-11 10:17:29.561521,10:17:29,PRE_1PM,2026-03-11 10:15:00,77726.1,77731.38,657.45,660.45,500.0,2026-03-11 10:17:35.975750,TARGET_HIT,660.45,1500.0,6.414229,SCALP_0_15S,3,1.9499999999999318,4.5499999999999545,4.5499999999999545,1.5,1.5,1.5,4.5499999999999545,1.5,2.158511,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277900PE|2026-03-11T10:25:52.002150,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277900PE,2026-03-11 10:25:52.002150,10:25:52,PRE_1PM,2026-03-11 10:25:00,77712.66,77710.29,544.9,547.9,500.0,2026-03-11 10:27:56.282006,TARGET_HIT,547.9,1500.0,124.279856,MEDIUM_60_300S,58,-6.850000000000023,-6.850000000000023,-6.850000000000023,-8.699999999999932,-8.850000000000023,-18.449999999999932,6.649999999999977,-23.75,90.095408,2.13902,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277900PE|2026-03-11T10:34:18.472276,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277900PE,2026-03-11 10:34:18.472276,10:34:18,PRE_1PM,2026-03-11 10:30:00,77702.27,77700.31,566.15,569.15,500.0,2026-03-11 10:35:20.793735,TARGET_HIT,569.15,1500.0,62.321459,MEDIUM_60_300S,28,-1.9499999999999318,-0.75,-0.75,-5.600000000000023,-5.600000000000023,-11.149999999999977,7.9500000000000455,-12.049999999999955,48.857568,2.201152,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277800PE|2026-03-11T10:40:02.820623,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277800PE,2026-03-11 10:40:02.820623,10:40:02,PRE_1PM,2026-03-11 10:40:00,77558.24,77556.49,560.6,563.6,500.0,2026-03-11 10:40:07.086401,TARGET_HIT,563.6,1500.0,4.265778,SCALP_0_15S,2,5.2999999999999545,5.2999999999999545,5.2999999999999545,2.7999999999999545,2.7999999999999545,2.7999999999999545,5.2999999999999545,2.7999999999999545,2.125953,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277700PE|2026-03-11T10:45:04.740529,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277700PE,2026-03-11 10:45:04.740529,10:45:04,PRE_1PM,2026-03-11 10:45:00,77544.87,77544.7,544.55,547.55,500.0,2026-03-11 10:45:09.144538,TARGET_HIT,547.55,1500.0,4.404009,SCALP_0_15S,2,6.150000000000091,6.150000000000091,6.150000000000091,-0.5,-0.5,-0.5,6.150000000000091,-0.5,4.404009,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277400CE|2026-03-11T10:50:53.812524,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277400CE,2026-03-11 10:50:53.812524,10:50:53,PRE_1PM,2026-03-11 10:50:00,77590.09,77592.93,611.3,614.3,500.0,2026-03-11 10:50:58.201942,TARGET_HIT,614.3,1500.0,4.389418,SCALP_0_15S,2,5.25,5.25,5.25,2.900000000000091,2.900000000000091,2.900000000000091,5.25,2.900000000000091,2.208298,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277400CE|2026-03-11T11:03:17.263803,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277400CE,2026-03-11 11:03:17.263803,11:03:17,PRE_1PM,2026-03-11 11:00:00,77633.17,77635.09,638.0,641.0,500.0,2026-03-11 11:03:19.435824,TARGET_HIT,641.0,1500.0,2.172021,SCALP_0_15S,1,3.1499999999999773,3.1499999999999773,3.1499999999999773,3.1499999999999773,3.1499999999999773,3.1499999999999773,3.1499999999999773,3.1499999999999773,2.172021,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277400CE|2026-03-11T11:05:56.789482,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277400CE,2026-03-11 11:05:56.789482,11:05:56,PRE_1PM,2026-03-11 11:05:00,77636.12,77637.24,635.0,638.0,500.0,2026-03-11 11:06:03.305082,TARGET_HIT,638.0,1500.0,6.5156,SCALP_0_15S,3,2.8500000000000227,3.75,3.75,1.5499999999999545,1.5499999999999545,1.5499999999999545,3.75,1.5499999999999545,2.167822,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277800PE|2026-03-11T11:10:11.157991,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277800PE,2026-03-11 11:10:11.157991,11:10:11,PRE_1PM,2026-03-11 11:10:00,77557.03,77554.32,572.15,575.15,500.0,2026-03-11 11:11:26.661097,TARGET_HIT,575.15,1500.0,75.503106,MEDIUM_60_300S,34,1.25,1.25,1.25,-0.8999999999999773,-5.399999999999977,-6.449999999999932,3.0,-17.149999999999977,2.134317,6.435498,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277700PE|2026-03-11T11:15:18.887657,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277700PE,2026-03-11 11:15:18.887657,11:15:18,PRE_1PM,2026-03-11 11:15:00,77517.53,77512.57,553.6,556.6,500.0,2026-03-11 11:16:05.565240,TARGET_HIT,556.6,1500.0,46.677583,SHORT_15_60S,21,2.0499999999999545,2.0499999999999545,2.0499999999999545,0.8999999999999773,-9.5,-10.700000000000045,4.5499999999999545,-10.700000000000045,2.265575,6.554254,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
