column,non_null_count,dtype,example
pnl_1p0s,447,float64,4.0
runup_1p0s,447,float64,4.0
drawdown_1p0s,447,float64,-1.9500000000000455
spread_1p0s,447,float64,1.1499999999999773
depth_imbalance_1p0s,447,float64,0.3333333333333333
num_price_changes_1p0s,447,float64,2.0
ckpt_2p0_available,447,object,True
pnl_2p0s,447,float64,4.0
runup_2p0s,447,float64,4.0
drawdown_2p0s,447,float64,-1.9500000000000455
spread_2p0s,447,float64,1.1499999999999773
depth_imbalance_2p0s,447,float64,0.3333333333333333
num_price_changes_2p0s,447,float64,2.0
ckpt_3p0_available,447,object,True
pnl_3p0s,447,float64,4.0
runup_3p0s,447,float64,4.0
drawdown_3p0s,447,float64,-1.9500000000000455
spread_3p0s,447,float64,1.1499999999999773
depth_imbalance_3p0s,447,float64,0.3333333333333333
num_price_changes_3p0s,447,float64,2.0
ckpt_5p0_available,447,object,True
pnl_5p0s,447,float64,4.0
runup_5p0s,447,float64,4.0
drawdown_5p0s,447,float64,-1.9500000000000455
spread_5p0s,447,float64,1.1499999999999773
depth_imbalance_5p0s,447,float64,0.3333333333333333
num_price_changes_5p0s,447,float64,2.0
velocity_0_1s_reconstructed,438,float64,5.9500000000000455
velocity_2_3s_reconstructed,447,float64,0.0
velocity_decay_ratio_3s_reconstructed,317,float64,0.0
feat_pnl_1s,678,float64,6.949999999999932
feat_runup_1s,678,float64,6.949999999999932
feat_drawdown_1s,678,float64,6.949999999999932
feat_pnl_3s,733,float64,4.5
feat_runup_3s,733,float64,7.849999999999909
feat_drawdown_3s,733,float64,4.5
feat_velocity_decay_ratio,544,float64,0.21582733812949853
current_bucket,1004,str,keep_3
actual_points,1004,float64,3.0
best_possible_points,739,float64,7.849999999999909
fallback_hold_points,739,float64,-5.100000000000023
exit_cut_points_1s,678,float64,7.849999999999909
exit_cut_points_3s,733,float64,0.0
trade_alive_at_1s,1004,bool,True
trade_alive_at_3s,1004,bool,True
