date,variant,time_bucket,trades,net_pnl,win_rate,avg_hold_seconds,avg_sensex_move_3s,avg_option_move_3s,profit_factor
2026-04-27,A_impulse_only,14:00-15:00,11,5524.999999999976,0.2727272727272727,2.727272727272727,11.860909090906551,1.318181818181813,3.9466666666665655
2026-04-27,A_impulse_only,15:00-15:30,3,999.9999999999716,0.3333333333333333,5.0,-10.376666666663368,-0.5833333333333522,2.379310344827558
2026-04-27,B_impulse_plus_option_sync,14:00-15:00,8,4625.0000000000855,0.375,2.25,18.9424999999992,-0.056250000000019895,2.697247706422071
2026-04-27,C_impulse_plus_sync_plus_liquidity_vacuum,14:00-15:00,2,375.0000000000284,0.5,3.5,-6.0349999999962165,0.15000000000006253,16.00000000001478
2026-04-28,A_impulse_only,14:00-15:00,8,700.000000000017,0.375,1.625,17.2925000000032,-0.7124999999999986,1.2204724409448886
2026-04-28,B_impulse_plus_option_sync,14:00-15:00,6,-1299.999999999983,0.3333333333333333,1.6666666666666667,35.94000000000233,-0.24999999999999054,0.5937500000000039
2026-04-28,C_impulse_plus_sync_plus_liquidity_vacuum,14:00-15:00,1,-1000.0,0.0,3.0,-49.93000000000757,2.0499999999999545,0.0
2026-04-29,A_impulse_only,15:00-15:30,1,-325.00000000000284,0.0,1.0,-25.039999999993597,-0.8000000000000114,0.0
2026-04-30,A_impulse_only,14:00-15:00,7,-1175.0000000000114,0.2857142857142857,1.5714285714285714,-24.33142857142749,0.02857142857143193,0.1454545454545442
2026-04-30,A_impulse_only,15:00-15:30,7,450.00000000002274,0.2857142857142857,2.7142857142857144,3.36428571428613,0.207142857142862,1.6206896551724548
2026-04-30,B_impulse_plus_option_sync,14:00-15:00,4,-174.9999999999998,0.25,1.5,-38.71499999999651,0.4125000000000002,0.41666666666666696
2026-04-30,B_impulse_plus_option_sync,15:00-15:30,6,450.00000000002274,0.3333333333333333,2.8333333333333335,8.465000000001359,0.24166666666667236,1.6206896551724548
2026-04-30,C_impulse_plus_sync_plus_liquidity_vacuum,15:00-15:30,1,399.9999999999915,1.0,3.0,25.919999999998254,0.19999999999998863,inf
2026-05-05,A_impulse_only,14:00-15:00,14,-199.9999999999318,0.35714285714285715,2.857142857142857,-11.552142857143606,-1.7357142857142824,0.956284153005479
2026-05-05,A_impulse_only,15:00-15:30,5,1224.9999999999945,0.4,3.2,6.499999999997089,-0.42000000000000454,2.256410256410258
2026-05-05,B_impulse_plus_option_sync,14:00-15:00,9,399.9999999999775,0.4444444444444444,2.4444444444444446,-16.38111111111357,0.06111111111110606,1.090395480225983
2026-05-05,B_impulse_plus_option_sync,15:00-15:30,3,-400.00000000000546,0.3333333333333333,2.0,9.740000000000387,0.14999999999997726,0.8399999999999979
2026-05-05,C_impulse_plus_sync_plus_liquidity_vacuum,14:00-15:00,1,25.000000000005684,1.0,4.0,-39.870000000009895,8.0,inf
