date,variant,trades,gross_pnl,net_pnl,win_rate,avg_win,avg_loss,profit_factor,max_intraday_drawdown
2026-04-27,A_impulse_only,14,6524.999999999947,6524.999999999947,0.2857142857142857,2281.25,-325.00000000000637,3.5096153846153157,-2050.000000000041
2026-04-27,B_impulse_plus_option_sync,8,4625.0000000000855,4625.0000000000855,0.375,2450.000000000017,-681.2499999999915,2.697247706422071,-1574.9999999999882
2026-04-27,C_impulse_plus_sync_plus_liquidity_vacuum,2,375.0000000000284,375.0000000000284,0.5,400.0000000000057,-24.999999999977263,16.00000000001478,-24.999999999977263
2026-04-28,A_impulse_only,8,700.000000000017,700.000000000017,0.375,1291.6666666666667,-634.9999999999966,1.2204724409448886,-1700.000000000017
2026-04-28,B_impulse_plus_option_sync,6,-1299.999999999983,-1299.999999999983,0.3333333333333333,950.0000000000028,-799.9999999999972,0.5937500000000039,-2050.0000000000114
2026-04-28,C_impulse_plus_sync_plus_liquidity_vacuum,1,-1000.0,-1000.0,0.0,0.0,-1000.0,0.0,-1000.0
2026-04-29,A_impulse_only,1,-325.00000000000284,-325.00000000000284,0.0,0.0,-325.00000000000284,0.0,-325.00000000000284
2026-04-30,A_impulse_only,14,-724.9999999999884,-724.9999999999884,0.2857142857142857,343.75000000000284,-262.49999999999994,0.6547619047619103,-1775.0
2026-04-30,B_impulse_plus_option_sync,10,275.00000000002296,275.00000000002296,0.3,433.3333333333371,-170.8333333333314,1.2682926829268546,-774.9999999999884
2026-04-30,C_impulse_plus_sync_plus_liquidity_vacuum,1,399.9999999999915,399.9999999999915,1.0,399.9999999999915,0.0,inf,0.0
2026-05-05,A_impulse_only,19,1025.0000000000628,1025.0000000000628,0.3684210526315789,939.2857142857167,-462.4999999999962,1.1846846846846975,-3574.99999999996
2026-05-05,B_impulse_plus_option_sync,12,-2.8194335754960775e-11,-2.8194335754960775e-11,0.4166666666666667,1385.0000000000023,-989.2857142857199,0.9999999999999961,-4125.000000000028
2026-05-05,C_impulse_plus_sync_plus_liquidity_vacuum,1,25.000000000005684,25.000000000005684,1.0,25.000000000005684,0.0,inf,0.0
