date,variant,regime,trades,net_pnl,win_rate,avg_points,profit_factor
2026-04-27,A_impulse_only,choppy_fake_impulse,12,6124.999999999971,0.25,1.0208333333333286,3.525773195876235
2026-04-27,A_impulse_only,clean_trend_impulse,1,-175.00000000001137,0.0,-0.35000000000002274,0.0
2026-04-27,A_impulse_only,late_session_impulse,1,574.9999999999886,1.0,1.1499999999999773,inf
2026-04-27,B_impulse_plus_option_sync,choppy_fake_impulse,5,2625.000000000057,0.2,1.0500000000000227,2.346153846153883
2026-04-27,B_impulse_plus_option_sync,clean_trend_impulse,1,-774.9999999999773,0.0,-1.5499999999999545,0.0
2026-04-27,B_impulse_plus_option_sync,late_session_impulse,1,2375.0,1.0,4.75,inf
2026-04-27,B_impulse_plus_option_sync,liquidity_vacuum_impulse,1,400.0000000000057,1.0,0.8000000000000114,inf
2026-04-27,C_impulse_plus_sync_plus_liquidity_vacuum,liquidity_vacuum_impulse,2,375.0000000000284,0.5,0.3750000000000284,16.00000000001478
2026-04-28,A_impulse_only,choppy_fake_impulse,6,425.0000000000398,0.3333333333333333,0.14166666666667993,1.2881355932203726
2026-04-28,A_impulse_only,clean_trend_impulse,1,-1700.000000000017,0.0,-3.400000000000034,0.0
2026-04-28,A_impulse_only,late_session_impulse,1,1974.9999999999943,1.0,3.9499999999999886,inf
2026-04-28,B_impulse_plus_option_sync,choppy_fake_impulse,5,400.0000000000341,0.4,0.16000000000001363,1.2666666666666944
2026-04-28,B_impulse_plus_option_sync,clean_trend_impulse,1,-1700.000000000017,0.0,-3.400000000000034,0.0
2026-04-28,C_impulse_plus_sync_plus_liquidity_vacuum,liquidity_vacuum_impulse,1,-1000.0,0.0,-2.0,0.0
2026-04-29,A_impulse_only,choppy_fake_impulse,1,-325.00000000000284,0.0,-0.6500000000000057,0.0
2026-04-30,A_impulse_only,choppy_fake_impulse,12,-349.9999999999941,0.3333333333333333,-0.058333333333332384,0.7971014492753663
2026-04-30,A_impulse_only,late_session_impulse,2,-374.9999999999942,0.0,-0.3749999999999942,0.0
2026-04-30,B_impulse_plus_option_sync,choppy_fake_impulse,8,650.0000000000172,0.375,0.16250000000000428,2.0000000000000355
2026-04-30,B_impulse_plus_option_sync,late_session_impulse,2,-374.9999999999942,0.0,-0.3749999999999942,0.0
2026-04-30,C_impulse_plus_sync_plus_liquidity_vacuum,liquidity_vacuum_impulse,1,399.9999999999915,1.0,0.799999999999983,inf
2026-05-05,A_impulse_only,choppy_fake_impulse,11,2000.0000000000284,0.36363636363636365,0.3636363636363688,1.5633802816901519
2026-05-05,A_impulse_only,clean_trend_impulse,2,-875.0,0.0,-0.875,0.0
2026-05-05,A_impulse_only,late_session_impulse,4,-1024.9999999999773,0.25,-0.5124999999999886,0.08888888888888608
2026-05-05,A_impulse_only,liquidity_vacuum_impulse,2,925.0000000000114,1.0,0.9250000000000114,inf
2026-05-05,B_impulse_plus_option_sync,choppy_fake_impulse,5,6750.0,0.8,2.7,45.9999999999983
2026-05-05,B_impulse_plus_option_sync,clean_trend_impulse,1,-1750.0,0.0,-3.5,0.0
2026-05-05,B_impulse_plus_option_sync,late_session_impulse,5,-5025.000000000034,0.0,-2.0100000000000136,0.0
2026-05-05,B_impulse_plus_option_sync,liquidity_vacuum_impulse,1,25.000000000005684,1.0,0.05000000000001137,inf
2026-05-05,C_impulse_plus_sync_plus_liquidity_vacuum,liquidity_vacuum_impulse,1,25.000000000005684,1.0,0.05000000000001137,inf
