label,precision,recall,f1_score,support,score
0,0.29178470254957506,0.9809523809523809,0.4497816593886463,105.0,
1,0.9130434782608695,0.07749077490774908,0.14285714285714285,271.0,
accuracy,,,,,0.32978723404255317
macro avg,0.6024140904052223,0.529221577930065,0.29631940112289457,376.0,
weighted avg,0.7395536605755345,0.32978723404255317,0.2285674466757808,376.0,
