model,eval_rows,eval_days,accuracy,precision_bad,recall_bad,f1_bad,pr_auc_bad,mean_threshold,baseline_total_pnl,policy_total_pnl,delta_vs_baseline_pnl,exit_rate,baseline_bad_loss,policy_bad_loss,bad_loss_reduction,winner_giveback_ratio,positive_day_ratio,worst_day_delta_pnl
hgb,376,9,0.27925531914893614,0.0,0.0,0.0,0.7695909049424056,0.7647606382978722,-109200.0000000006,-109200.0000000006,0.0,0.0,297075.0000000008,297075.0000000008,0.0,0.0,0.0,0.0
logistic,376,9,0.32978723404255317,0.9130434782608695,0.07749077490774908,0.14285714285714285,0.78708020971588,0.7753989361702126,-109200.0000000006,-105325.00000000058,3875.0000000000136,0.061170212765957445,297075.0000000008,289225.0000000008,0.02642430362703014,0.024537037037037038,0.1111111111111111,0.0
