date,path,exists,raw_rows,parse_errors,unique_symbols,unique_strikes,first_timestamp,last_timestamp,missing_spread_rows,missing_best_bid_rows,missing_best_ask_rows,missing_bid_depth_rows,missing_ask_depth_rows,missing_oi_rows,missing_volume_rows,missing_spread_pct,missing_best_bid_pct,missing_best_ask_pct,missing_bid_depth_pct,missing_ask_depth_pct,missing_oi_pct,missing_volume_pct,candidate_count_score3_onset,underlying_rows,underlying_first_timestamp,underlying_last_timestamp
2026-04-24,/Users/ankurkumar/Downloads/sensex-noise-papertrade/data/tape/sensex_options/2026-04-24/options.jsonl,True,5258,0,76,38,2026-04-24 10:31:17,2026-04-24 15:29:59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31778,2026-04-24 08:40:24,2026-04-24 17:30:01
2026-04-27,/Users/ankurkumar/Downloads/sensex-noise-papertrade/data/tape/sensex_options/2026-04-27/options.jsonl,True,1480630,0,83,42,2026-04-27 09:15:00,2026-04-27 15:29:59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94809,31289,2026-04-27 08:48:35,2026-04-27 17:30:03
2026-04-28,/Users/ankurkumar/Downloads/sensex-noise-papertrade/data/tape/sensex_options/2026-04-28/options.jsonl,True,1482281,0,79,40,2026-04-28 09:15:00,2026-04-28 15:29:59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104233,31180,2026-04-28 08:50:23,2026-04-28 17:30:02
2026-04-29,/Users/ankurkumar/Downloads/sensex-noise-papertrade/data/tape/sensex_options/2026-04-29/options.jsonl,True,1426610,0,78,39,2026-04-29 09:25:28,2026-04-29 15:29:59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121408,22004,2026-04-29 09:27:30,2026-04-29 15:34:13
