feature,feature_type,resolved_column,status,non_null_count
idx_pre_velocity_aligned,numeric,idx_pre_velocity_aligned,used,373
idx_pre_accel_aligned,numeric,idx_pre_accel_aligned,used,357
opt_pre_velocity_5s,numeric,opt_pre_velocity_5s,used,343
opt_pre_depth_imb_mean,numeric,opt_pre_depth_imb_mean,used,362
opt_pre_spread_mean,numeric,opt_pre_spread_mean,used,362
burst_score_reconstructed,numeric,burst_score_reconstructed,used,373
pre_entry_option_tick_count,numeric,pre_entry_option_tick_count,used,373
pre_entry_index_tick_count,numeric,pre_entry_index_tick_count,used,373
pnl_0p25s,numeric,pnl_0p25s,used,237
pnl_0p5s,numeric,pnl_0p5s,used,268
feat_pnl_1s,numeric,feat_pnl_1s,used,334
feat_runup_1s,numeric,feat_runup_1s,used,334
feat_drawdown_1s,numeric,feat_drawdown_1s,used,334
feat_pnl_3s,numeric,feat_pnl_3s,used,367
feat_runup_3s,numeric,feat_runup_3s,used,367
feat_drawdown_3s,numeric,feat_drawdown_3s,used,367
feat_velocity_decay_ratio,numeric,feat_velocity_decay_ratio,used,279
pre_or_post_1pm,categorical,pre_or_post_1pm,used,373
continuation_or_reversal,categorical,continuation_or_reversal,used,373
call_or_put,categorical,call_or_put,used,373
