model,eval_rows,eval_days,accuracy,precision_bad,recall_bad,f1_bad,pr_auc_bad,mean_threshold,baseline_total_pnl,policy_total_pnl,delta_vs_baseline_pnl,exit_rate,baseline_bad_loss,policy_bad_loss,bad_loss_reduction,winner_giveback_ratio,positive_day_ratio,worst_day_delta_pnl
hgb,205,9,0.48292682926829267,0.9027777777777778,0.39634146341463417,0.5508474576271186,0.8586644900706477,0.6260975609756095,-75050.00000000033,-54800.00000000007,20250.00000000024,0.35121951219512193,164925.00000000052,141900.00000000035,0.13960891314233803,0.10781249999999898,0.3333333333333333,0.0
logistic,205,9,0.424390243902439,0.8833333333333333,0.3231707317073171,0.4732142857142857,0.8418275531575099,0.616341463414634,-75050.00000000033,-57500.00000000013,17550.000000000193,0.2926829268292683,164925.00000000052,143775.00000000035,0.12824010914051906,0.10781249999999898,0.3333333333333333,-549.9999999999545
