threshold,objective_value,winner_giveback_ratio,exit_rate,total_policy_pnl,feasible,fold_id,calibration_date
0.1,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.15,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.2,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.25,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.3,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.35,-14124.999999999602,0.7352297592997735,1.0,-14124.999999999602,False,1,2026-04-10
0.4,-14749.99999999966,0.38293216630196397,0.7352941176470589,-14749.99999999966,False,1,2026-04-10
0.45,-18324.999999999647,0.34682713347920746,0.5294117647058824,-18324.999999999647,False,1,2026-04-10
0.5,-19424.999999999673,0.253829321663015,0.4411764705882353,-19424.999999999673,False,1,2026-04-10
0.55,-19424.999999999673,0.253829321663015,0.4411764705882353,-19424.999999999673,False,1,2026-04-10
0.6,-22474.999999999683,0.253829321663015,0.35294117647058826,-22474.999999999683,False,1,2026-04-10
0.65,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.7,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.75,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.8,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.85,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.9,-33074.99999999982,0.0,0.0,-33074.99999999982,True,1,2026-04-10
0.1,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.15,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.2,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.25,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.3,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.35,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.4,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.45,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.5,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.55,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.6,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.65,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.7,-6725.000000000023,0.5972222222222222,1.0,-6725.000000000023,False,2,2026-04-13
0.75,-7574.999999999991,0.09166666666666545,0.21739130434782608,-7574.999999999991,True,2,2026-04-13
0.8,-7400.000000000035,0.0,0.0,-7400.000000000035,True,2,2026-04-13
0.85,-7400.000000000035,0.0,0.0,-7400.000000000035,True,2,2026-04-13
0.9,-7400.000000000035,0.0,0.0,-7400.000000000035,True,2,2026-04-13
0.1,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.15,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.2,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.25,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.3,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.35,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.4,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.45,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.5,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.55,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.6,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.65,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.7,2025.0000000000057,0.2791666666666685,1.0,2025.0000000000057,False,3,2026-04-15
0.75,2249.999999999999,0.09166666666666849,0.6666666666666666,2249.999999999999,True,3,2026-04-15
0.8,2400.0000000000045,0.0,0.3888888888888889,2400.0000000000045,True,3,2026-04-15
0.85,-625.0000000000286,0.0,0.0,-625.0000000000286,True,3,2026-04-15
0.9,-625.0000000000286,0.0,0.0,-625.0000000000286,True,3,2026-04-15
0.1,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.15,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.2,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.25,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.3,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.35,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.4,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.45,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.5,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.55,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.6,-3849.9999999999513,0.36176470588235327,1.0,-3849.9999999999513,False,4,2026-04-16
0.65,-4049.9999999999977,0.0,0.5,-4049.9999999999977,True,4,2026-04-16
0.7,-10500.00000000003,0.0,0.2222222222222222,-10500.00000000003,True,4,2026-04-16
0.75,-10500.00000000003,0.0,0.16666666666666666,-10500.00000000003,True,4,2026-04-16
0.8,-10500.00000000003,0.0,0.16666666666666666,-10500.00000000003,True,4,2026-04-16
0.85,-10500.00000000003,0.0,0.0,-10500.00000000003,True,4,2026-04-16
0.9,-10500.00000000003,0.0,0.0,-10500.00000000003,True,4,2026-04-16
0.1,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.15,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.2,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.25,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.3,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.35,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.4,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.45,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.5,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.55,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.6,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.65,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.7,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.75,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.8,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.85,-9925.000000000011,0.0,1.0,-9925.000000000011,True,5,2026-04-17
0.9,-15600.000000000022,0.0,0.7916666666666666,-15600.000000000022,True,5,2026-04-17
0.1,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.15,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.2,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.25,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.3,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.35,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.4,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.45,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.5,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.55,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.6,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.65,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.7,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.75,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.8,-6299.999999999899,0.7333333333333232,1.0,-6299.999999999899,False,6,2026-04-20
0.85,-4449.999999999933,0.3222222222222197,0.9166666666666666,-4449.999999999933,False,6,2026-04-20
0.9,-12924.999999999956,0.0,0.0,-12924.999999999956,True,6,2026-04-20
0.1,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.15,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.2,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.25,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.3,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.35,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.4,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.45,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.5,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.55,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.6,-2774.99999999992,0.458823529411762,1.0,-2774.99999999992,False,7,2026-04-21
0.65,-6074.999999999931,0.2823529411764679,0.8461538461538461,-6074.999999999931,False,7,2026-04-21
0.7,-7299.9999999999545,0.2823529411764679,0.8076923076923077,-7299.9999999999545,False,7,2026-04-21
0.75,-7299.9999999999545,0.2823529411764679,0.8076923076923077,-7299.9999999999545,False,7,2026-04-21
0.8,-6549.9999999999545,0.20882352941176202,0.6153846153846154,-6549.9999999999545,False,7,2026-04-21
0.85,-5074.999999999989,0.0,0.0,-5074.999999999989,True,7,2026-04-21
0.9,-5074.999999999989,0.0,0.0,-5074.999999999989,True,7,2026-04-21
0.1,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.15,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.2,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.25,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.3,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.35,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.4,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.45,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.5,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.55,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.6,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.65,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.7,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.75,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.8,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.85,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.9,-1075.0000000000173,0.3333333333333333,1.0,-1075.0000000000173,False,8,2026-04-22
0.1,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.15,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.2,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.25,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.3,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.35,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.4,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.45,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.5,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.55,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
0.6,-7224.999999999953,0.4499999999999976,1.0,-7224.999999999953,False,9,2026-04-23
