date,trade_count,baseline_pnl,policy_pnl,delta_pnl
2026-04-13,23,-7400.000000000035,-5675.000000000011,1725.0000000000236
2026-04-15,18,-625.0000000000284,-625.0000000000284,0.0
2026-04-16,18,-10500.00000000003,-10500.00000000003,0.0
2026-04-17,24,-14350.00000000008,-14900.000000000035,-549.9999999999545
2026-04-20,24,-12924.999999999956,-6299.999999999898,6625.000000000058
2026-04-21,26,-5074.999999999989,-5074.999999999989,0.0
2026-04-22,18,-2425.00000000004,-2425.00000000004,0.0
2026-04-23,24,-16975.000000000022,-7224.999999999952,9750.00000000007
2026-04-24,30,-4775.000000000148,-4775.000000000148,0.0
