date,patch_era,total_trades,gross_pnl,net_pnl,win_rate,avg_win,avg_loss,profit_factor,max_intraday_drawdown,num_1s_kills,num_3s_kills,num_hard_stops,num_target_hits,num_promoted_trades,promoted_wins,promoted_losses,promoted_net_pnl,normal_trade_net_pnl,burst_score_mean,burst_score_distribution,average_hold_time_seconds,average_mfe,average_mae,mfe_capture_ratio_mean,rolling_3d_net_pnl,cumulative_net_pnl,cumulative_net_pnl_by_patch_era
2026-03-23,pre_1s3s,55,-11999.999999999942,-11999.999999999942,0.7090909090909091,1435.8974358974344,-4249.999999999993,0.8235294117647064,-27999.999999999887,0,0,14,39,0,0,0,0.0,-11999.999999999942,,{},9.435163927272727,3.8072727272727414,-3.0809090909090875,-0.4845789509112611,-11999.999999999942,-11999.999999999942,-11999.999999999942
2026-03-24,pre_1s3s,57,-21799.999999999894,-21799.999999999894,0.7017543859649122,1362.5,-4488.235294117641,0.7142857142857152,-30274.99999999992,0,0,2,40,0,0,0,0.0,-21799.999999999894,,{},7.55193396491228,4.1096491228070136,-5.600000000000003,-0.6830756858861051,-33799.99999999984,-33799.99999999984,-33799.99999999984
2026-03-25,pre_1s3s,51,-7899.999999999993,-7899.999999999993,0.7058823529411765,1347.2222222222222,-3760.0,0.8599290780141844,-20575.00000000002,0,0,1,36,0,0,0,0.0,-7899.999999999993,,{},8.97363937254902,3.758823529411769,-4.635294117647054,-1.02987389476235,-41699.999999999825,-41699.99999999983,-41699.999999999825
2026-03-27,pre_1s3s,48,-13699.99999999982,-13699.99999999982,0.6666666666666666,1375.0,-3606.249999999989,0.7625649913344911,-28274.999999999865,0,0,3,32,0,0,0,0.0,-13699.99999999982,,{},11.18544075,3.2124999999999866,-4.223958333333338,-0.35423324093856196,-43399.99999999971,-55399.99999999965,-55399.99999999965
2026-03-30,pre_1s3s,54,-23949.999999999935,-23949.999999999935,0.6296296296296297,1441.1764705882354,-3647.4999999999964,0.6716929403701172,-26699.999999999876,0,0,3,34,0,0,0,0.0,-23949.999999999935,,{},8.690742203703705,3.4870370370370427,-4.612037037037032,-2.545324579988302,-45549.99999999975,-79349.99999999959,-79349.99999999959
2026-04-01,pre_1s3s,57,-21925.00000000007,-21925.00000000007,0.7192982456140351,1463.4146341463415,-5120.3125000000055,0.7323771742447353,-80600.00000000006,0,0,4,41,0,0,0,0.0,-21925.00000000007,2.192982456140351,"{""0"": 14, ""1"": 8, ""2"": 5, ""3"": 19, ""4"": 5, ""5"": 6}",8.351460684210528,3.3850877192982445,-3.6552631578947454,-1.2859374714106135,-59574.999999999825,-101274.99999999967,-101274.99999999965
2026-04-02,pre_1s3s,57,-15700.000000000004,-15700.000000000004,0.6666666666666666,1368.421052631579,-3563.157894736842,0.7680945347119645,-62875.000000000015,0,0,2,38,0,0,0,0.0,-15700.000000000004,2.6491228070175437,"{""0"": 10, ""1"": 7, ""2"": 4, ""3"": 13, ""4"": 18, ""5"": 5}",8.933995385964911,3.099122807017543,-4.938596491228074,-1.553720415792687,-61575.000000000015,-116974.99999999967,-116974.99999999965
2026-04-06,pre_1s3s,53,-41399.99999999992,-41399.99999999992,0.7358490566037735,1410.2564102564102,-6885.71428571428,0.5705394190871375,-89474.99999999996,0,0,3,39,0,0,0,0.0,-41399.99999999992,2.3207547169811322,"{""0"": 8, ""1"": 13, ""2"": 6, ""3"": 12, ""4"": 8, ""5"": 6}",8.002605981132076,3.882075471698124,-5.321698113207544,-4.827008837320016,-79025.0,-158374.9999999996,-158374.9999999996
2026-04-07,pre_1s3s,18,7625.000000000056,7625.000000000056,0.8333333333333334,1500.0,-4958.333333333315,1.5126050420168125,-7249.999999999944,0,0,0,15,0,0,0,0.0,7625.000000000056,2.888888888888889,"{""0"": 1, ""1"": 1, ""2"": 3, ""3"": 7, ""4"": 6}",3.693270611111111,5.125000000000006,-2.7444444444444493,0.6046994270623479,-49474.99999999986,-150749.99999999953,-150749.99999999953
2026-04-08,pre_1s3s,35,20249.99999999994,20249.99999999994,0.8571428571428571,1433.3333333333333,-4550.000000000012,1.8901098901098852,-18000.00000000006,0,0,0,30,0,0,0,0.0,20249.99999999994,2.5428571428571427,"{""0"": 5, ""1"": 5, ""2"": 7, ""3"": 6, ""4"": 8, ""5"": 4}",6.155813685714285,3.4871428571428607,-2.867142857142853,0.03263763508574709,-13524.99999999992,-130499.99999999959,-130499.99999999958
2026-04-09,pre_1s3s,25,20800.000000000015,20800.000000000015,0.88,1454.5454545454545,-3733.33333333333,2.85714285714286,-10500.0,0,0,0,22,0,0,0,0.0,20800.000000000015,2.0,"{""0"": 3, ""1"": 8, ""2"": 3, ""3"": 9, ""4"": 1, ""5"": 1}",3.7571438000000006,4.6619999999999955,-2.500000000000002,0.633049372017768,48675.000000000015,-109699.99999999958,-109699.99999999956
2026-04-10,pre_1s3s,47,-13574.999999999822,-13574.999999999822,0.6382978723404256,1411.6666666666674,-3289.705882352932,0.7572641931157826,-52124.999999999825,0,0,4,29,0,0,0,0.0,-13574.999999999822,2.382978723404255,"{""0"": 8, ""1"": 5, ""2"": 10, ""3"": 12, ""4"": 9, ""5"": 3}",13.374202191489362,2.932978723404258,-3.7159574468085004,-1.5284161160466423,27475.000000000135,-123274.9999999994,-123274.99999999939
2026-04-13,edge_1s3s,50,6099.999999999854,6099.999999999854,0.62,1292.7419354838742,-1788.157894736855,1.1795437821927832,-28350.000000000135,8,12,5,25,0,0,0,0.0,6099.999999999854,2.4,"{""0"": 9, ""1"": 7, ""2"": 8, ""3"": 13, ""4"": 7, ""5"": 6}",3.26954724,2.6820000000000004,-1.8760000000000059,-0.2380807951899278,13325.000000000047,-117174.99999999955,6099.999999999854
2026-04-15,edge_1s3s,46,-2825.000000000074,-2825.000000000074,0.43478260869565216,1263.7500000000005,-1124.0000000000032,0.8994661921708162,-26775.000000000062,18,10,2,16,0,0,0,0.0,-2825.000000000074,2.0869565217391304,"{""0"": 11, ""1"": 5, ""2"": 8, ""3"": 13, ""4"": 9}",2.960534586956522,1.6423913043478275,-1.5282608695652227,-6.397581489799491,-10300.000000000042,-119999.99999999962,3274.9999999997794
2026-04-16,edge_1s3s,56,13225.000000000047,13225.000000000047,0.625,1372.8571428571424,-1741.2499999999968,1.3797559224694924,-33874.99999999998,11,6,7,32,0,0,0,0.0,13225.000000000047,2.6607142857142856,"{""0"": 8, ""1"": 8, ""2"": 6, ""3"": 13, ""4"": 16, ""5"": 4, ""6"": 1}",2.618226232142857,3.1839285714285723,-1.8392857142857102,0.06640079911496548,16499.999999999825,-106774.99999999958,16499.999999999825
2026-04-17,edge_1s3s,50,-3500.000000000169,-3500.000000000169,0.44,1165.9090909090899,-1121.1538461538516,0.8799313893653465,-26825.000000000156,23,9,2,16,0,0,0,0.0,-3500.000000000169,1.86,"{""0"": 16, ""1"": 8, ""2"": 6, ""3"": 10, ""4"": 7, ""5"": 3}",4.09091364,1.714000000000003,-1.6970000000000072,-1.3452311602263831,6899.999999999804,-110274.99999999975,12999.999999999658
2026-04-20,edge_1s3s,51,-5799.9999999999545,-5799.9999999999545,0.45098039215686275,1357.6086956521774,-1424.0384615384626,0.843349088453749,-30399.99999999997,17,11,4,19,0,0,0,0.0,-5799.9999999999545,2.2745098039215685,"{""0"": 6, ""1"": 15, ""2"": 8, ""3"": 8, ""4"": 9, ""5"": 5}",3.0456451176470587,1.959803921568626,-1.7774509803921585,-2.0412870979486057,3924.9999999999236,-116074.99999999971,7199.9999999997035
