burst_score,trades,net_pnl,avg_pnl,win_rate,target_hit_rate,hard_stop_rate,avg_mfe,avg_mae,avg_candle_age_seconds,promoted_rate
3,125,-43799.999999999854,-350.39999999999884,0.424,0.344,0.112,2.0287999999999986,-2.1695999999999995,12.854802496,0.0
4,123,-24900.000000000062,-202.4390243902444,0.43902439024390244,0.36585365853658536,0.10569105691056911,1.9995934959349622,-1.9430894308943092,12.033832886178862,0.0
5,34,15999.999999999915,470.5882352941151,0.4411764705882353,0.17647058823529413,0.0,3.0985294117647055,-1.392647058823536,12.828184147058824,1.0
6,1,1150.0000000000057,1150.0000000000057,1.0,0.0,0.0,3.6499999999999773,0.0,12.789325,1.0
