impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_1S_20PTS,1,20.0,2,ATM,3,0.005,500,2,2,0.5,6.224999999999994,0.0,5.724999999999994,5.724999999999994
U_1S_20PTS,1,20.0,2,ATM,3,0.01,500,2,2,0.5,6.224999999999994,0.0,5.724999999999994,5.724999999999994
U_1S_20PTS,1,20.0,2,ATM,3,0.015,500,2,2,0.5,6.224999999999994,0.0,5.724999999999994,5.724999999999994
U_1S_20PTS,1,20.0,2,ATM,5,0.005,500,2,2,0.5,9.5,0.0,5.724999999999994,5.724999999999994
U_1S_20PTS,1,20.0,2,ATM,5,0.01,500,2,2,0.5,9.5,0.0,5.724999999999994,5.724999999999994
U_1S_20PTS,1,20.0,2,ATM,5,0.015,500,2,2,0.5,9.5,0.0,5.724999999999994,5.724999999999994
U_2S_25PTS,2,25.0,1,ATM,10,0.005,500,1,1,1.0,10.75,0.0,5.400000000000006,5.400000000000006
U_2S_25PTS,2,25.0,1,ATM,10,0.01,500,1,1,1.0,10.75,0.0,5.400000000000006,5.400000000000006
U_2S_25PTS,2,25.0,1,ATM,10,0.015,500,1,1,1.0,10.75,0.0,5.400000000000006,5.400000000000006
U_2S_20PTS,2,20.0,1,ATM,5,0.005,500,2,2,0.5,5.800000000000004,0.0,5.200000000000003,5.200000000000003
U_2S_25PTS,2,25.0,1,ATM,3,0.005,250,2,2,1.0,5.549999999999997,0.0,5.049999999999997,5.049999999999997
