atm_bucket,event_count,tradable_event_count,avg_mfe,median_mfe,harvest_3pt_rate,harvest_5pt_rate,avg_mae,net_edge_after_0_5_cost,candidate_trade_expectancy,candidate_trade_count,candidate_trade_net_pnl
ATM,22,21,5.924999999999998,3.875,0.5909090909090909,0.4090909090909091,-2.0545454545454542,5.424999999999998,185.9834558823538,573,101175.00000000047
ATM_100,31,31,3.0306451612903196,2.0999999999999943,0.3225806451612903,0.1935483870967742,-2.4354838709677438,2.5306451612903187,1115.0000000000023,35,5575.000000000011
ATM_200,49,49,1.6989795918367343,0.9499999999999993,0.20408163265306123,0.10204081632653061,-1.6285714285714294,1.1989795918367343,-25.00000000000002,38,-25.00000000000002
