time_bucket,impulse_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,candidate_trade_count,candidate_trade_net_pnl,candidate_trade_profit_factor,candidate_trade_worst_day
12:00-13:30,6,6,0.2857142857142857,2.3500000000000005,-3.414285714285711,76,30449.99999999998,1.644103648863035,0.0
13:30-14:45,33,33,0.2653061224489796,2.9806122448979595,-1.5806122448979592,129,26199.99999999999,1.257810578105781,-725.0000000000466
10:30-12:00,18,18,0.36363636363636365,2.5409090909090892,-1.9250000000000014,128,21925.000000000407,1.2490062464508853,-9124.999999999944
14:45-15:15,7,7,0.6,4.21,-1.2549999999999994,57,21575.000000000044,1.5997220291869376,-5974.9999999999945
outside,5,5,0.16666666666666666,1.7999999999999785,-0.6166666666666897,71,6675.000000000052,1.6625310173697325,0.0
09:15-09:30,2,1,1.0,16.0,-6.274999999999977,69,624.9999999999711,1.0073056691992985,-13224.999999999995
09:30-10:30,6,6,0.16666666666666666,0.7083333333333334,-4.666666666666664,116,-724.9999999999787,0.9927391086629948,-7475.00000000001
