label,precision,recall,f1_score,support,score
0,0.38926174496644295,1.0,0.5603864734299517,174.0,
1,0.0,0.0,0.0,273.0,
accuracy,,,,,0.38926174496644295
macro avg,0.19463087248322147,0.5,0.28019323671497587,447.0,
weighted avg,0.1515247060943201,0.38926174496644295,0.21813701650293424,447.0,
