date,trade_count,baseline_pnl,policy_pnl,delta_pnl
2026-04-13,50,6099.999999999852,6099.999999999852,0.0
2026-04-15,46,-2825.0000000000737,-2825.0000000000737,0.0
2026-04-16,56,13225.000000000051,13225.000000000051,0.0
2026-04-17,50,-3500.0000000001705,-3500.0000000001705,0.0
2026-04-20,51,-5799.9999999999545,-5799.9999999999545,0.0
2026-04-21,42,-9900.000000000091,-9900.000000000091,0.0
2026-04-22,46,11974.99999999988,11974.99999999988,0.0
2026-04-23,54,-21975.000000000036,-21975.000000000036,0.0
2026-04-24,52,4374.999999999943,4374.999999999943,0.0
