threshold,objective_value,retained_trade_ratio,accepted_bad_trade_rate,total_policy_pnl,feasible,fold_id,calibration_date
0.1,0.0,0.0,,0.0,False,1,2026-04-10
0.15,0.0,0.0,,0.0,False,1,2026-04-10
0.2,0.0,0.0,,0.0,False,1,2026-04-10
0.25,0.0,0.0,,0.0,False,1,2026-04-10
0.3,0.0,0.0,,0.0,False,1,2026-04-10
0.35,2774.9999999999773,0.3829787234042553,0.2777777777777778,2774.9999999999773,False,1,2026-04-10
0.4,-12624.999999999833,0.8936170212765957,0.35714285714285715,-12624.999999999833,True,1,2026-04-10
0.45,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.5,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.55,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.6,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.65,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.7,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.75,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.8,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.85,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.9,-13574.999999999822,1.0,0.3617021276595745,-13574.999999999822,True,1,2026-04-10
0.1,0.0,0.0,,0.0,False,2,2026-04-13
0.15,0.0,0.0,,0.0,False,2,2026-04-13
0.2,0.0,0.0,,0.0,False,2,2026-04-13
0.25,0.0,0.0,,0.0,False,2,2026-04-13
0.3,0.0,0.0,,0.0,False,2,2026-04-13
0.35,0.0,0.0,,0.0,False,2,2026-04-13
0.4,0.0,0.0,,0.0,False,2,2026-04-13
0.45,0.0,0.0,,0.0,False,2,2026-04-13
0.5,9824.99999999993,0.48,0.4166666666666667,9824.99999999993,False,2,2026-04-13
0.55,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.6,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.65,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.7,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.75,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.8,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.85,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.9,6099.999999999854,1.0,0.5,6099.999999999854,True,2,2026-04-13
0.1,0.0,0.0,,0.0,False,3,2026-04-15
0.15,0.0,0.0,,0.0,False,3,2026-04-15
0.2,0.0,0.0,,0.0,False,3,2026-04-15
0.25,0.0,0.0,,0.0,False,3,2026-04-15
0.3,0.0,0.0,,0.0,False,3,2026-04-15
0.35,0.0,0.0,,0.0,False,3,2026-04-15
0.4,0.0,0.0,,0.0,False,3,2026-04-15
0.45,0.0,0.0,,0.0,False,3,2026-04-15
0.5,0.0,0.0,,0.0,False,3,2026-04-15
0.55,0.0,0.0,,0.0,False,3,2026-04-15
0.6,0.0,0.0,,0.0,False,3,2026-04-15
0.65,-375.00000000005707,0.2608695652173913,0.6666666666666666,-375.00000000005707,False,3,2026-04-15
0.7,-2825.000000000074,1.0,0.6521739130434783,-2825.000000000074,True,3,2026-04-15
0.75,-2825.000000000074,1.0,0.6521739130434783,-2825.000000000074,True,3,2026-04-15
0.8,-2825.000000000074,1.0,0.6521739130434783,-2825.000000000074,True,3,2026-04-15
0.85,-2825.000000000074,1.0,0.6521739130434783,-2825.000000000074,True,3,2026-04-15
0.9,-2825.000000000074,1.0,0.6521739130434783,-2825.000000000074,True,3,2026-04-15
0.1,0.0,0.0,,0.0,False,4,2026-04-16
0.15,0.0,0.0,,0.0,False,4,2026-04-16
0.2,0.0,0.0,,0.0,False,4,2026-04-16
0.25,0.0,0.0,,0.0,False,4,2026-04-16
0.3,0.0,0.0,,0.0,False,4,2026-04-16
0.35,0.0,0.0,,0.0,False,4,2026-04-16
0.4,0.0,0.0,,0.0,False,4,2026-04-16
0.45,11725.000000000047,0.9821428571428571,0.43636363636363634,11725.000000000047,True,4,2026-04-16
0.5,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.55,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.6,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.65,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.7,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.75,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.8,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.85,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.9,13225.000000000047,1.0,0.42857142857142855,13225.000000000047,True,4,2026-04-16
0.1,0.0,0.0,,0.0,False,5,2026-04-17
