label,precision,recall,f1_score,support,score
0,0.39243498817966904,0.9540229885057471,0.5561139028475712,174.0,
1,0.6666666666666666,0.05860805860805861,0.10774410774410774,273.0,
accuracy,,,,,0.407158836689038
macro avg,0.5295508274231678,0.5063155235569028,0.33192900529583946,447.0,
weighted avg,0.5599187649737414,0.407158836689038,0.28227731657632843,447.0,
