model,eval_rows,eval_days,accuracy,precision_bad,recall_bad,f1_bad,pr_auc_bad,mean_threshold,baseline_trade_count,accepted_trade_count,retained_trade_ratio,baseline_bad_trade_rate,accepted_bad_trade_rate,bad_trade_rate_reduction,baseline_total_pnl,policy_total_pnl,delta_vs_baseline_pnl,retained_non_bad_gross_pnl_ratio,positive_day_ratio,worst_day_delta_pnl
hgb,447,9,0.407158836689038,0.6666666666666666,0.05860805860805861,0.10774410774410774,0.6249880598594602,0.6290827740492171,447,423,0.9463087248322147,0.610738255033557,0.607565011820331,0.00519574987660097,-8325.000000000602,-11100.00000000055,-2774.999999999949,0.9554730983302412,0.1111111111111111,-4025.0000000000055
logistic,447,9,0.38926174496644295,0.0,0.0,0.0,0.6255475383442264,0.6234899328859062,447,447,1.0,0.610738255033557,0.610738255033557,0.0,-8325.000000000602,-8325.000000000602,0.0,1.0,0.0,0.0
