bucket_type,bucket,trades,wins,losses,hit_rate,avg_pnl,median_pnl,tail_loss_count,tail_loss_share
bucket_pre_post_1pm,POST_1PM,15,5,10,0.3333333333333333,-286.66666666666555,-599.9999999999943,2,0.13333333333333333
bucket_pre_post_1pm,PRE_1PM,31,19,11,0.6129032258064516,524.9999999999956,849.9999999999943,4,0.12903225806451613
bucket_3way,EARLY_SESSION,16,11,5,0.6875,981.249999999992,1500.0,2,0.125
bucket_3way,LATE_SESSION,15,5,10,0.3333333333333333,-286.66666666666555,-599.9999999999943,2,0.13333333333333333
bucket_3way,MID_SESSION,15,8,6,0.5333333333333333,38.33333333333255,599.9999999999943,2,0.13333333333333333
