target_points,touch_rate_all,touch_rate_winners,touch_rate_losers
2.0,0.5,0.8333333333333334,0.09523809523809523
3.0,0.391304347826087,0.75,0.0
4.0,0.1956521739130435,0.375,0.0
5.0,0.10869565217391304,0.20833333333333334,0.0
weak_follow_through_warning,0.41304347826086957,0.08333333333333333,0.8095238095238095
non_target_exits_post_exit_target_touch,0.36666666666666664,,
